회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원)
(주)TCC스틸,002710,2016/12,57654611,25582561,48126701,22801657
(주)TCC스틸,002710,2017/12,48408783,20150484,43217757,19063388
(주)TCC스틸,002710,2018/12,42246665,33048342,41140973,28341813
(주)TCC스틸,002710,2019/12,45242999,29636313,33268239,21237292
(주)가비아,079940,2011/12,4866865,434923,1964346,393317
(주)가비아,079940,2012/12,6524566,2521761,2041083,2569817
(주)가비아,079940,2013/12,6448247,1861578,1986939,1268027
(주)가비아,079940,2014/12,0,2865111,2648057,2370341
(주)가비아,079940,2015/12,8120801,2028679,2327391,1496985
(주)가비아,079940,2016/12,14103577,5050880,2458491,1575303
(주)가비아,079940,2017/12,19164658,7351096,2897556,2413820
(주)가비아,079940,2018/12,20324111,3929911,2873894,1771040
(주)가비아,079940,2019/12,25159207,4480341,3227148,2058371
(주)강스템바이오텍,217730,2015/12,,,298840,125108
(주)강스템바이오텍,217730,2016/12,,,170110,276004
(주)강스템바이오텍,217730,2017/12,440984,1239629,173608,1239629
(주)강스템바이오텍,217730,2018/12,2038576,1787264,1024620,230000
(주)강스템바이오텍,217730,2019/12,1209654,616805,1024806,270948
(주)강원랜드,035250,2011/12,6134126,1884989,6107094,1884989
(주)강원랜드,035250,2012/12,7667585,2232677,6916800,2232677
(주)강원랜드,035250,2013/12,7394704,2218517,7277032,2218517
(주)강원랜드,035250,2014/12,6582920,3263417,6379925,3263417
(주)강원랜드,035250,2015/12,5436891,3607101,5366515,3607101
(주)강원랜드,035250,2016/12,5089200,3084179,5028255,3084179
(주)강원랜드,035250,2017/12,5442780,3361320,5425603,3361320
(주)강원랜드,035250,2018/12,10584690,3561607,10519131,3561607
(주)강원랜드,035250,2019/12,8657399,3857898,8599415,3857898
(주)강원에너지,114190,2011/11,,,12650936,13966076
(주)강원에너지,114190,2012/12,,,42550425,17580576
(주)강원에너지,114190,2013/12,,,16589758,6911587
(주)강원에너지,114190,2014/12,,,26216322,8949784
(주)강원에너지,114190,2015/12,16786020,8958699,16786020,8958699
(주)강원에너지,114190,2016/12,28125754,5273337,28125754,5273337
(주)강원에너지,114190,2017/12,47160876,15372002,47160876,15372002
(주)강원에너지,114190,2018/12,43399528,11107883,43399528,11107883
(주)강원에너지,114190,2019/12,20063616,7904034,20063616,7904034
(주)갤럭시아에스엠,011420,2011/12,7628919,1441017,6130238,1078148
(주)갤럭시아에스엠,011420,2012/12,4791513,1958766,5251377,1557553
(주)갤럭시아에스엠,011420,2013/12,4956683,1576120,4769683,1162739
(주)갤럭시아에스엠,011420,2014/12,6615820,2389683,6620157,1548854
(주)갤럭시아에스엠,011420,2015/12,4611248,2901363,6445375,2140769
(주)갤럭시아에스엠,011420,2016/12,6431047,4302476,6515454,3486270
(주)갤럭시아에스엠,011420,2017/12,7542791,2973757,7481985,2970352
(주)갤럭시아에스엠,011420,2018/12,5719635,1700468,5719122,1695454
(주)갤럭시아에스엠,011420,2019/12,5897430,1350936,5897430,1350936
(주)경농,002100,2011/12,9818596,16144137,9714905,16127481
(주)경농,002100,2012/12,18805441,19656950,11173839,19491642
(주)경농,002100,2013/12,22766814,17503694,13260133,17851709
(주)경농,002100,2014/12,26488328,22336952,15336315,20530569
(주)경농,002100,2015/12,29950451,23122407,19475979,21943145
(주)경농,002100,2016/12,33292892,28340442,20474340,25261354
(주)경농,002100,2017/12,34293741,29526311,21342674,25446317
(주)경농,002100,2018/12,34470614,24114639,24098405,20300908
(주)경농,002100,2019/12,34654361,27979140,22948270,23604107
(주)경동나비엔,009450,2011/12,36210869,41324370,45321567,42204733
(주)경동나비엔,009450,2012/12,37720771,56130651,52865768,54234882
(주)경동나비엔,009450,2013/12,38993744,50650491,56666418,51433487
(주)경동나비엔,009450,2014/12,41167793,54242303,77167697,46764099
(주)경동나비엔,009450,2015/12,40720959,65252087,80824192,54566199
(주)경동나비엔,009450,2016/12,51051560,83657318,85914718,76535655
(주)경동나비엔,009450,2017/12,78968890,92109771,99173501,86703690
(주)경동나비엔,009450,2018/12,94866914,77239026,120493677,69560024
(주)경동나비엔,009450,2019/12,96284740,92666117,143343920,80630620
(주)경동도시가스,267290,2017/12,263647773,295055522,263643633,295055522
(주)경동도시가스,267290,2018/12,249114243,328641465,249117109,328641465
(주)경동도시가스,267290,2019/12,201864420,273615670,201833997,273615670
(주)경동인베스트,012320,2011/12,352420975,422528843,337190982,411238914
(주)경동인베스트,012320,2012/12,429513466,590272557,413063519,574143486
(주)경동인베스트,012320,2013/12,377298441,534969558,370673340,520836292
(주)경동인베스트,012320,2014/12,346363738,420962238,306852953,410419461
(주)경동인베스트,012320,2015/12,258223845,252287992,210450343,245967803
(주)경동인베스트,012320,2016/12,259424655,229971708,205523295,227515846
(주)경동인베스트,012320,2017/12,66718773,2330818,65907,0
(주)경동인베스트,012320,2018/12,56884735,6953228,842694,0
(주)경동인베스트,012320,2019/12,63713573,6446931,844080,0
(주)경방,000050,2011/12,31118341,19598113,32135932,1642636
(주)경방,000050,2012/12,31458436,20758100,31453366,3879239
(주)경방,000050,2013/12,34166562,20361220,31058761,3610545
(주)경방,000050,2014/12,35219398,18551019,32233594,18354028
(주)경방,000050,2015/12,37901704,17651694,31721636,16820107
(주)경방,000050,2016/12,38823607,19400284,31731834,16642486
(주)경방,000050,2017/12,34640336,18728926,27595270,15212310
(주)경방,000050,2018/12,42175729,18980495,29371128,16114137
(주)경방,000050,2019/12,37797870,18966096,24474870,16840264
(주)경보제약,214390,2015/12,,,46116955,16602104
(주)경보제약,214390,2016/12,,,50452400,15716878
(주)경보제약,214390,2017/12,,,55984549,15450647
(주)경보제약,214390,2018/12,,,67195051,15020329
(주)경보제약,214390,2019/12,,,52833419,15296391
(주)경인양행,012610,2011/12,58900677,22641016,47702972,9018541
(주)경인양행,012610,2012/12,56308561,14019539,0,7778437
(주)경인양행,012610,2013/12,69253772,18002898,0,14114039
(주)경인양행,012610,2014/12,64789479,11497378,40378430,5356136
(주)경인양행,012610,2015/12,60317420,14596934,40536511,7495266
(주)경인양행,012610,2016/12,64396864,25656675,44658202,17120817
(주)경인양행,012610,2017/12,68522442,15841108,45961158,7614574
(주)경인양행,012610,2018/12,82567584,19996296,61097103,16868009
(주)경인양행,012610,2019/12,80961683,16457652,55723288,14147013
(주)고려시멘트,198440,2014/12,,,,
(주)고려시멘트,198440,2015/12,,,,
(주)고려시멘트,198440,2016/12,,,,
(주)고려시멘트,198440,2017/12,,,30481250,5866237
(주)고려시멘트,198440,2018/12,,,32476313,4413490
(주)고려시멘트,198440,2019/12,,,25700956,3352457
(주)고영테크놀러지,098460,2011/12,23215229,8131221,25227493,6712506
(주)고영테크놀러지,098460,2012/12,29150759,7066055,31988780,6921841
(주)고영테크놀러지,098460,2013/12,32324265,10669475,38176088,9720309
(주)고영테크놀러지,098460,2014/12,38484841,8710906,47690802,8064380
(주)고영테크놀러지,098460,2015/12,47462104,10193418,64256973,8691822
(주)고영테크놀러지,098460,2016/12,57993580,13904087,84100616,11628501
(주)고영테크놀러지,098460,2017/12,72204125,16233234,103464560,14022036
(주)고영테크놀러지,098460,2018/12,87348349,15677316,107503723,14095316
(주)고영테크놀러지,098460,2019/12,85250616,13515704,111177420,11824330
(주)골드앤에스,035290,2011/12,8521200,1050496,8521199,1050496
(주)골드앤에스,035290,2012/12,7648183,608923,7648184,608923
(주)골드앤에스,035290,2013/12,7534315,1180068,7535782,1164614
(주)골드앤에스,035290,2014/12,7494549,872982,7503242,828614
(주)골드앤에스,035290,2015/12,7300896,706904,7300896,706904
(주)골드앤에스,035290,2016/12,6613954,247758,6613954,247758
(주)골드앤에스,035290,2017/12,6452974,218963,6452974,218963
(주)골드앤에스,035290,2018/12,4799709,89720,4799709,89720
(주)골드앤에스,035290,2019/12,4418864,111463,4418864,111463
(주)골드퍼시픽,038530,2011/12,,,1502923,0
(주)골드퍼시픽,038530,2012/12,,,4387103,360536
(주)골드퍼시픽,038530,2013/12,6082377,0,5689818,0
(주)골드퍼시픽,038530,2014/12,8912889,0,7249571,0
(주)골드퍼시픽,038530,2015/12,8175535,0,8175535,235874
(주)골드퍼시픽,038530,2016/12,,,8468843,0
(주)골드퍼시픽,038530,2017/12,,,10040030,631826
(주)골드퍼시픽,038530,2018/12,9015191,135512,9097306,105811
(주)골드퍼시픽,038530,2019/12,,,11971868,1568859
(주)골프존,215000,2015/12,16619616,4808035,16912747,2629604
(주)골프존,215000,2016/12,13774715,4557221,12711470,2581843
(주)골프존,215000,2017/12,18258663,4469536,16542689,3390826
(주)골프존,215000,2018/12,20008011,4279575,19652517,4098802
(주)골프존,215000,2019/12,17763826,3056162,19050011,2799499
(주)골프존뉴딘홀딩스,121440,2011/12,9241114,5148042,9693683,4597262
(주)골프존뉴딘홀딩스,121440,2012/12,12363953,6832838,11012643,6329293
(주)골프존뉴딘홀딩스,121440,2013/12,17739672,10012375,13661065,9273972
(주)골프존뉴딘홀딩스,121440,2014/12,16824334,8638556,13195483,6628808
(주)골프존뉴딘홀딩스,121440,2015/12,6118520,4560011,1298568,0
(주)골프존뉴딘홀딩스,121440,2016/12,4397394,7232656,2030134,0
(주)골프존뉴딘홀딩스,121440,2017/12,6687798,7509517,1611931,0
(주)골프존뉴딘홀딩스,121440,2018/12,12689009,13914428,2372526,0
(주)골프존뉴딘홀딩스,121440,2019/12,11370127,11564312,2408025,0
(주)광림,014200,2011/12,,,18729997,8267561
(주)광림,014200,2012/12,,,14514359,6836814
(주)광림,014200,2013/12,,,16091136,12095362
(주)광림,014200,2014/12,37525936,15195572,14926608,7357956
(주)광림,014200,2015/12,,,15556705,10272131
(주)광림,014200,2016/12,35770538,33842846,9931190,10810709
(주)광림,014200,2017/12,22490849,18870922,7569100,8030605
(주)광림,014200,2018/12,34113986,21849846,9521763,11697261
(주)광림,014200,2019/12,26246160,16949822,10365519,7735917
(주)광명전기,017040,2011/12,26276590,15273072,15642201,11133124
(주)광명전기,017040,2012/12,26121680,14541759,18984031,9639820
(주)광명전기,017040,2013/12,30019188,6384899,25766651,5478932
(주)광명전기,017040,2014/12,36337764,16863004,31554886,14394312
(주)광명전기,017040,2015/12,16825692,13411331,11967345,11546018
(주)광명전기,017040,2016/12,20812852,11672758,19314773,8674010
(주)광명전기,017040,2017/12,16276254,13326881,19292906,12111820
(주)광명전기,017040,2018/12,16707389,11215318,16383101,9140681
(주)광명전기,017040,2019/12,18747808,11445805,17078687,10714507
(주)광무,029480,2011/12,15437387,2896522,15007132,2878872
(주)광무,029480,2012/12,18148992,3451446,7975589,2234116
(주)광무,029480,2013/12,19869205,6942208,5018421,217205
(주)광무,029480,2014/12,,,4374987,2596908
(주)광무,029480,2015/12,,,3100483,1618468
(주)광무,029480,2016/12,,,4933425,3511856
(주)광무,029480,2017/12,,,5897853,3938636
(주)광무,029480,2018/12,6812775,4677581,6442654,4669886
(주)광무,029480,2019/12,6986082,4822290,6607048,4822290
(주)광주신세계,037710,2011/12,,,5261643,6321463
(주)광주신세계,037710,2012/12,,,6323881,5075335
(주)광주신세계,037710,2013/12,,,4729317,4886193
(주)광주신세계,037710,2014/12,,,4540143,4704385
(주)광주신세계,037710,2015/12,,,4577507,5016639
(주)광주신세계,037710,2016/12,,,7699769,4614162
(주)광주신세계,037710,2017/12,,,8674542,4800593
(주)광주신세계,037710,2018/12,,,9520237,4480641
(주)광주신세계,037710,2019/12,,,7997425,1573309
(주)구영테크,053270,2011/12,23926433,16472298,13535988,6299970
(주)구영테크,053270,2012/12,20379904,17049710,15359575,7454466
(주)구영테크,053270,2013/12,20909469,15687991,15028158,6844830
(주)구영테크,053270,2014/12,24073036,14490199,20379318,7335754
(주)구영테크,053270,2015/12,21783991,15341928,17866513,6601210
(주)구영테크,053270,2016/12,19261358,17062202,14956757,8951343
(주)구영테크,053270,2017/12,15896364,12713646,12980262,6282989
(주)구영테크,053270,2018/12,19516600,17759576,16135074,6110577
(주)구영테크,053270,2019/12,24281004,24047776,16757584,5907988
(주)국동,005320,2011/12,14368516,7004176,11530629,5839281
(주)국동,005320,2012/12,17348332,11745693,8616735,3897290
(주)국동,005320,2013/12,19948179,11443259,12277024,4920293
(주)국동,005320,2014/12,23636997,6514361,19254302,2400487
(주)국동,005320,2015/12,20542541,8483606,18793712,3471027
(주)국동,005320,2016/12,30965793,11310843,22531961,3776098
(주)국동,005320,2017/12,29330583,0,24289513,0
(주)국동,005320,2018/12,42026511,0,29136159,0
(주)국동,005320,2019/12,29146951,0,22045059,0
(주)국보,001140,2011/12,32013000,27065174,30897739,26383751
(주)국보,001140,2012/12,29321045,20461549,27743212,19396127
(주)국보,001140,2013/12,26687968,19858641,26766809,19257872
(주)국보,001140,2014/12,21664174,15090607,20655577,14586749
(주)국보,001140,2015/12,19300537,12891236,18702252,12580604
(주)국보,001140,2016/12,18583374,16397529,17533500,16076154
(주)국보,001140,2017/12,18211151,15294608,17452320,15055161
(주)국보,001140,2018/12,15900282,9603578,15982493,9414128
(주)국보,001140,2019/12,14106510,11841043,9583667,9142581
(주)국보디자인,066620,2011/12,5190250,3283186,5190250,2986643
(주)국보디자인,066620,2012/12,4606730,4715896,4606730,4595026
(주)국보디자인,066620,2013/12,10948837,12879322,10948837,12332525
(주)국보디자인,066620,2014/12,4357661,12724468,4357661,11999905
(주)국보디자인,066620,2015/12,2505760,11075367,2505760,11154715
(주)국보디자인,066620,2016/12,1008344,17103591,1008344,17027385
(주)국보디자인,066620,2017/12,336512,15690035,336512,15525351
(주)국보디자인,066620,2018/12,1240757,14504533,1240757,14092211
(주)국보디자인,066620,2019/12,3197728,23287340,3197728,23846546
(주)국순당,043650,2011/12,11259940,2886581,10758156,2882593
(주)국순당,043650,2012/12,12103876,2428304,11709351,2530595
(주)국순당,043650,2013/12,10237392,2487835,9745976,2355302
(주)국순당,043650,2014/12,12103487,2057948,11747154,2049423
(주)국순당,043650,2015/12,12254148,2242995,11837690,2224462
(주)국순당,043650,2016/12,9355940,1884112,8998950,1875643
(주)국순당,043650,2017/12,9202188,1820720,8718979,1801389
(주)국순당,043650,2018/12,7610480,1424251,7753428,1838920
(주)국순당,043650,2019/12,13311068,3003336,8116959,1532245
(주)국영지앤엠,006050,2011/12,,,2199759,508026
(주)국영지앤엠,006050,2012/12,,,1021751,268127
(주)국영지앤엠,006050,2013/12,,,1677868,298197
(주)국영지앤엠,006050,2014/12,,,1504995,235583
(주)국영지앤엠,006050,2015/12,,,2910822,342031
(주)국영지앤엠,006050,2016/12,,,2513999,243092
(주)국영지앤엠,006050,2017/12,,,5466371,680102
(주)국영지앤엠,006050,2018/12,,,2507793,685295
(주)국영지앤엠,006050,2019/12,,,2689400,427803
(주)국전약품,307750,2018/12,,,,
(주)국전약품,307750,2019/12,,,,
(주)그래디언트,035080,2011/12,35816042,20751590,949789,0
(주)그래디언트,035080,2012/12,42397042,22192792,750508,0
(주)그래디언트,035080,2013/12,682820611,438000293,389185,0
(주)그래디언트,035080,2014/12,721609329,600061090,337506,0
(주)그래디언트,035080,2015/12,892479656,748134634,360082,0
(주)그래디언트,035080,2016/12,897408716,821075523,0,0
(주)그래디언트,035080,2017/12,520261385,598549556,0,0
(주)그래디언트,035080,2018/12,482837598,576919070,0,0
(주)그래디언트,035080,2019/12,506115950,568649165,0,0
(주)그리티,204020,2018/12,6243334,5754631,3884141,3381175
(주)그리티,204020,2019/12,9553395,5732363,6191460,1962053
(주)그린플러스,186230,2019/12,13124792,1271911,16180874,688488
(주)글로벌스탠다드테크놀로지,083450,2011/12,7914176,4338890,7891933,3964059
(주)글로벌스탠다드테크놀로지,083450,2012/12,4566298,5277526,4315263,4507881
(주)글로벌스탠다드테크놀로지,083450,2013/12,8982959,4589334,8717936,4995072
(주)글로벌스탠다드테크놀로지,083450,2014/12,10622259,3102476,10772064,3846946
(주)글로벌스탠다드테크놀로지,083450,2015/12,8368084,2506331,8333640,2544126
(주)글로벌스탠다드테크놀로지,083450,2016/12,16275133,13105932,16435990,13417725
(주)글로벌스탠다드테크놀로지,083450,2017/12,12622732,7195459,14151732,7361229
(주)글로벌스탠다드테크놀로지,083450,2018/12,21398470,5676963,20750344,5821243
(주)글로벌스탠다드테크놀로지,083450,2019/12,34548232,9480603,36562614,11627554
(주)금양,001570,2011/12,29394534,9611729,24644593,11292216
(주)금양,001570,2012/12,26504403,3926125,22076810,7695740
(주)금양,001570,2013/12,45739558,5741119,38267028,5976994
(주)금양,001570,2014/12,37155626,8947725,32568301,17029437
(주)금양,001570,2015/12,39206129,12758216,40269651,23859065
(주)금양,001570,2016/12,41772849,6438681,44092989,19898986
(주)금양,001570,2017/12,49503298,10692226,38833602,22335662
(주)금양,001570,2018/12,45140456,11325477,30216514,9781259
(주)금양,001570,2019/12,48194329,7452849,32847352,4179449
(주)금호에이치티,214330,2015/12,52692171,6701119,56548252,3329382
(주)금호에이치티,214330,2016/12,50961349,15487400,65821567,11373526
(주)금호에이치티,214330,2017/12,0,14597412,60899166,9884535
(주)금호에이치티,214330,2018/12,53028482,28049547,62547578,22000676
(주)금호에이치티,214330,2019/12,58063571,28762189,61662574,21828406
(주)금화피에스시,036190,2011/12,,,9113225,716359
(주)금화피에스시,036190,2012/12,,,7999729,688993
(주)금화피에스시,036190,2013/12,28066894,1298479,25806922,1267570
(주)금화피에스시,036190,2014/12,37419481,3797811,33145050,1657800
(주)금화피에스시,036190,2015/12,48002480,6898513,43283618,4965044
(주)금화피에스시,036190,2016/12,46851396,3780477,42010074,1618413
(주)금화피에스시,036190,2017/12,24854964,2645224,21773380,1099963
(주)금화피에스시,036190,2018/12,23260207,2803078,19585043,1560106
(주)금화피에스시,036190,2019/12,24935013,2789668,19981034,1484754
(주)기가레인,049080,2013/12,18300210,6817425,17997491,6769170
(주)기가레인,049080,2014/12,9679752,2330559,9852914,2374495
(주)기가레인,049080,2015/12,15742686,3343295,15856396,3558157
(주)기가레인,049080,2016/12,16957317,9746198,18790894,8721409
(주)기가레인,049080,2017/12,15728147,8641414,15486228,7430901
(주)기가레인,049080,2018/12,40616751,17417283,40544167,16847353
(주)기가레인,049080,2019/12,22633745,7445667,25816185,8010905
(주)기산텔레콤,035460,2011/12,17138518,12252384,9504067,8132593
(주)기산텔레콤,035460,2012/12,13177653,6101795,7206650,3193987
(주)기산텔레콤,035460,2013/12,34251345,16168788,22783909,12453803
(주)기산텔레콤,035460,2014/12,24687607,15434710,13473931,9216888
(주)기산텔레콤,035460,2015/12,22503622,13126493,10691440,9852117
(주)기산텔레콤,035460,2016/12,25717268,9167075,8942303,5948948
(주)기산텔레콤,035460,2017/12,16918592,0,1842663,5839010
(주)기산텔레콤,035460,2018/12,13639826,5733408,2412416,2071958
(주)기산텔레콤,035460,2019/12,11128178,5234405,936740,1943020
(주)까뮤이앤씨,013700,2011/12,,,14443866,29736224
(주)까뮤이앤씨,013700,2012/12,,,2516598,12960940
(주)까뮤이앤씨,013700,2013/12,,,3334035,10483814
(주)까뮤이앤씨,013700,2014/12,,,541476,25686269
(주)까뮤이앤씨,013700,2015/12,,,1317982,20961185
(주)까뮤이앤씨,013700,2016/12,,,811635,27311849
(주)까뮤이앤씨,013700,2017/12,,,5104110,25035486
(주)까뮤이앤씨,013700,2018/12,,,70706,26777840
(주)까뮤이앤씨,013700,2019/12,,,2863669,19563920
(주)까스텔바작,308100,2019/12,4200921,1729345,4096242,1729345
(주)나노,187790,2014/12,,,,
(주)나노,187790,2015/12,22458935,11412694,5320374,714808
(주)나노,187790,2016/12,14369863,5612657,4604851,1253183
(주)나노,187790,2017/12,13866363,6878542,7887405,449659
(주)나노,187790,2018/12,13702731,12861535,3942916,1848015
(주)나노,187790,2019/12,13618852,6164411,5259821,2334663
(주)나노브릭,286750,2019/12,3301745,254159,3301744,254159
(주)나노신소재,121600,2011/12,7078291,93469,7078291,93469
(주)나노신소재,121600,2012/12,3284301,137496,3284301,137496
(주)나노신소재,121600,2013/12,6889519,267583,6889411,267583
(주)나노신소재,121600,2014/12,8100134,141269,8100134,141269
(주)나노신소재,121600,2015/12,11234820,334142,11234820,334142
(주)나노신소재,121600,2016/12,10376457,175186,10376457,175186
(주)나노신소재,121600,2017/12,11515655,311888,11515655,311888
(주)나노신소재,121600,2018/12,12579883,640049,12579883,640049
(주)나노신소재,121600,2019/12,9035018,491573,9035018,491573
(주)나노엔텍,039860,2011/12,5720087,1420962,5707345,1420962
(주)나노엔텍,039860,2012/12,5278346,1265115,5404410,1265115
(주)나노엔텍,039860,2013/12,5840994,1302230,6056745,1302230
(주)나노엔텍,039860,2014/12,7529277,1964935,11019580,1964935
(주)나노엔텍,039860,2015/12,13308634,2236429,15166620,1365904
(주)나노엔텍,039860,2016/12,10629011,1589484,15165304,1589484
(주)나노엔텍,039860,2017/12,10288554,1147102,13765175,1147102
(주)나노엔텍,039860,2018/12,13277150,1094806,16944454,1094806
(주)나노엔텍,039860,2019/12,12658933,788115,17419781,788115
(주)나무가,190510,2015/12,42483627,70091263,84777325,59346255
(주)나무가,190510,2016/12,20930031,51593349,31536418,27737721
(주)나무가,190510,2017/12,23945155,45357032,53430017,36932431
(주)나무가,190510,2018/12,21316860,38959518,32852541,34025892
(주)나무가,190510,2019/12,35791270,86859929,77661736,78566450
(주)나스미디어,089600,2013/12,,,9688502,35823567
(주)나스미디어,089600,2014/12,,,9647519,28422868
(주)나스미디어,089600,2015/12,,,15290772,60847751
