회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS연결)(천원),계속영업이익(손실)(IFRS연결)(천원)
(주)강원에너지,114190,2012/12,,
(주)강원에너지,114190,2013/12,,
(주)강원에너지,114190,2014/12,,
(주)강원에너지,114190,2015/12,447206,102482
(주)강원에너지,114190,2016/12,-1311190,-1125371
(주)강원에너지,114190,2017/12,-5588512,-6451819
(주)강원에너지,114190,2018/12,341329,1708887
(주)강원에너지,114190,2019/12,-17175963,-35647438
(주)갤럭시아에스엠,011420,2011/12,5164839,2909464
(주)갤럭시아에스엠,011420,2012/12,2074371,389023
(주)갤럭시아에스엠,011420,2013/12,747160,-1736750
(주)갤럭시아에스엠,011420,2014/12,-423280,-255270
(주)갤럭시아에스엠,011420,2015/12,2101041,1863773
(주)갤럭시아에스엠,011420,2016/12,-3713866,-1562620
(주)갤럭시아에스엠,011420,2017/12,-3545768,-5899738
(주)갤럭시아에스엠,011420,2018/12,-10337846,-16003255
(주)갤럭시아에스엠,011420,2019/12,-456437,-1133591
(주)경농,002100,2011/12,7676752,509664
(주)경농,002100,2012/12,12731056,10310339
(주)경농,002100,2013/12,18783505,13950248
(주)경농,002100,2014/12,14653846,7099305
(주)경농,002100,2015/12,12111543,6980392
(주)경농,002100,2016/12,9168484,6365805
(주)경농,002100,2017/12,8447803,10079442
(주)경농,002100,2018/12,14769793,4878426
(주)경농,002100,2019/12,8690743,4014664
(주)경동나비엔,009450,2011/12,12421333,9467023
(주)경동나비엔,009450,2012/12,13925116,9169965
(주)경동나비엔,009450,2013/12,19784395,11129597
(주)경동나비엔,009450,2014/12,13464776,9380054
(주)경동나비엔,009450,2015/12,24222981,16752000
(주)경동나비엔,009450,2016/12,45831937,37469924
(주)경동나비엔,009450,2017/12,47757034,27019124
(주)경동나비엔,009450,2018/12,40802217,24748538
(주)경동나비엔,009450,2019/12,44824995,27852090
(주)경동도시가스,267290,2017/12,21664503,17798556
(주)경동도시가스,267290,2018/12,42657143,34164798
(주)경동도시가스,267290,2019/12,28055130,24638348
(주)경동인베스트,012320,2011/12,35856991,30327559
(주)경동인베스트,012320,2012/12,49896945,42879202
(주)경동인베스트,012320,2013/12,50540286,49841905
(주)경동인베스트,012320,2014/12,47933045,75930406
(주)경동인베스트,012320,2015/12,-13298185,-21251390
(주)경동인베스트,012320,2016/12,28667528,15258620
(주)경동인베스트,012320,2017/12,36380462,42162770
(주)경동인베스트,012320,2018/12,39212613,29827973
(주)경동인베스트,012320,2019/12,21959506,8856009
(주)경방,000050,2011/12,22188217,-1131177
(주)경방,000050,2012/12,7253943,-7910168
(주)경방,000050,2013/12,36031739,14574395
(주)경방,000050,2014/12,30618157,11488471
(주)경방,000050,2015/12,38961511,16692163
(주)경방,000050,2016/12,43436569,29474988
(주)경방,000050,2017/12,42309232,25315361
(주)경방,000050,2018/12,40979751,20189241
(주)경방,000050,2019/12,32020530,43621631
(주)경보제약,214390,2015/12,,
(주)경보제약,214390,2016/12,,
(주)경보제약,214390,2017/12,,
(주)경보제약,214390,2018/12,,
(주)경보제약,214390,2019/12,,
(주)경인양행,012610,2011/12,6353143,2886360
(주)경인양행,012610,2012/12,3641265,2093491
(주)경인양행,012610,2013/12,11145943,10215710
(주)경인양행,012610,2014/12,14093166,10148248
(주)경인양행,012610,2015/12,6718134,3670895
(주)경인양행,012610,2016/12,10577181,6837522
(주)경인양행,012610,2017/12,7364797,4779249
(주)경인양행,012610,2018/12,19691167,13801882
(주)경인양행,012610,2019/12,23555055,16372880
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,,
(주)고려시멘트,198440,2018/12,,
(주)고려시멘트,198440,2019/12,,
(주)고영테크놀러지,098460,2011/12,18820907,15634438
(주)고영테크놀러지,098460,2012/12,21443286,15221925
(주)고영테크놀러지,098460,2013/12,16773438,13933294
(주)고영테크놀러지,098460,2014/12,28155311,22111066
(주)고영테크놀러지,098460,2015/12,23449593,23530903
(주)고영테크놀러지,098460,2016/12,33184488,29723733
(주)고영테크놀러지,098460,2017/12,43748905,26734105
(주)고영테크놀러지,098460,2018/12,45983316,42309672
(주)고영테크놀러지,098460,2019/12,33331312,29559680
(주)골드앤에스,035290,2011/12,1295340,1002287
(주)골드앤에스,035290,2012/12,-2330876,-6467495
(주)골드앤에스,035290,2013/12,-6493110,-16837473
(주)골드앤에스,035290,2014/12,-3079598,-8691183
(주)골드앤에스,035290,2015/12,1143768,-4391651
(주)골드앤에스,035290,2016/12,402070,390367
(주)골드앤에스,035290,2017/12,-3694041,-8195875
(주)골드앤에스,035290,2018/12,-4667030,-4380399
(주)골드앤에스,035290,2019/12,-7142117,-24623306
(주)골드퍼시픽,038530,2011/12,,
(주)골드퍼시픽,038530,2012/12,,
(주)골드퍼시픽,038530,2013/12,-6137582,-9381353
(주)골드퍼시픽,038530,2014/12,-5819314,-7390326
(주)골드퍼시픽,038530,2015/12,-8243124,-10215946
(주)골드퍼시픽,038530,2016/12,,
(주)골드퍼시픽,038530,2017/12,,
(주)골드퍼시픽,038530,2018/12,-904003,-4471963
(주)골드퍼시픽,038530,2019/12,,
(주)골프존,215000,2015/12,49582444,36533155
(주)골프존,215000,2016/12,45442469,36536248
(주)골프존,215000,2017/12,37457577,79494700
(주)골프존,215000,2018/12,28160266,20419449
(주)골프존,215000,2019/12,32297494,16213888
(주)골프존뉴딘홀딩스,121440,2011/12,54442032,46487063
(주)골프존뉴딘홀딩스,121440,2012/12,69002648,73354594
(주)골프존뉴딘홀딩스,121440,2013/12,80489158,2803470
(주)골프존뉴딘홀딩스,121440,2014/12,102393717,79234486
(주)골프존뉴딘홀딩스,121440,2015/12,-9349582,-22960983
(주)골프존뉴딘홀딩스,121440,2016/12,37005985,2876449
(주)골프존뉴딘홀딩스,121440,2017/12,18422625,-20731308
(주)골프존뉴딘홀딩스,121440,2018/12,1114231,-5158216
(주)골프존뉴딘홀딩스,121440,2019/12,-3625436,-34848135
(주)광림,014200,2011/12,,
(주)광림,014200,2012/12,,
(주)광림,014200,2013/12,,
(주)광림,014200,2014/12,2185491,-237860
(주)광림,014200,2015/12,,
(주)광림,014200,2016/12,171774,-1896521
(주)광림,014200,2017/12,-12369550,-23602051
(주)광림,014200,2018/12,-1044494,-28445678
(주)광림,014200,2019/12,-10983157,-14006972
(주)광명전기,017040,2011/12,496117,-1825104
(주)광명전기,017040,2012/12,4187750,407617
(주)광명전기,017040,2013/12,10781483,6473480
(주)광명전기,017040,2014/12,12461662,9107331
(주)광명전기,017040,2015/12,9342095,8891002
(주)광명전기,017040,2016/12,3616733,3825654
(주)광명전기,017040,2017/12,2197753,-2043260
(주)광명전기,017040,2018/12,3257516,2718092
(주)광명전기,017040,2019/12,7985837,6438173
(주)광무,029480,2011/12,-13535610,-50127229
(주)광무,029480,2012/12,-5776949,-10100957
(주)광무,029480,2013/12,-13904969,-28721377
(주)광무,029480,2014/12,,
(주)광무,029480,2015/12,,
(주)광무,029480,2016/12,,
(주)광무,029480,2017/12,,
(주)광무,029480,2018/12,-1335245,-5120760
(주)광무,029480,2019/12,-3012624,-6421201
(주)광주신세계,037710,2011/12,,
(주)광주신세계,037710,2012/12,,
(주)광주신세계,037710,2013/12,,
(주)광주신세계,037710,2014/12,,
(주)광주신세계,037710,2015/12,,
(주)광주신세계,037710,2016/12,,
(주)광주신세계,037710,2017/12,,
(주)광주신세계,037710,2018/12,,
(주)광주신세계,037710,2019/12,,
(주)구영테크,053270,2011/12,5159050,-647883
(주)구영테크,053270,2012/12,7488049,1633009
(주)구영테크,053270,2013/12,7492265,2179847
(주)구영테크,053270,2014/12,5438229,2236588
(주)구영테크,053270,2015/12,6145428,4158785
(주)구영테크,053270,2016/12,4337719,2542450
(주)구영테크,053270,2017/12,5691336,1357296
(주)구영테크,053270,2018/12,5378869,5920905
(주)구영테크,053270,2019/12,5239175,3387486
(주)국동,005320,2011/12,1137580,-7212195
(주)국동,005320,2012/12,6792926,5142066
(주)국동,005320,2013/12,5522012,4009323
(주)국동,005320,2014/12,10149086,8898694
(주)국동,005320,2015/12,8655834,5235608
(주)국동,005320,2016/12,10563534,6208749
(주)국동,005320,2017/12,-5856432,-8967738
(주)국동,005320,2018/12,5762204,2111761
(주)국동,005320,2019/12,-4249136,-4523376
(주)국보,001140,2011/12,1737608,-37903
(주)국보,001140,2012/12,1365801,-874559
(주)국보,001140,2013/12,731017,-3846673
(주)국보,001140,2014/12,-2409123,-7545611
(주)국보,001140,2015/12,-2462368,-4522817
(주)국보,001140,2016/12,204105,-4187272
(주)국보,001140,2017/12,-3934059,-2889794
(주)국보,001140,2018/12,-5293766,-3999572
(주)국보,001140,2019/12,-968491,-6676274
(주)국보디자인,066620,2011/12,8573206,6055732
(주)국보디자인,066620,2012/12,10501258,8281324
(주)국보디자인,066620,2013/12,11767773,10935895
(주)국보디자인,066620,2014/12,13346472,10942079
(주)국보디자인,066620,2015/12,12789435,10768050
(주)국보디자인,066620,2016/12,10516456,10738135
(주)국보디자인,066620,2017/12,23215727,13340935
(주)국보디자인,066620,2018/12,16463397,13872876
(주)국보디자인,066620,2019/12,11557298,15942956
(주)국순당,043650,2011/12,5344491,5264054
(주)국순당,043650,2012/12,5650758,6185532
(주)국순당,043650,2013/12,1441447,5742772
(주)국순당,043650,2014/12,1082245,3463226
(주)국순당,043650,2015/12,-8197632,-3529405
(주)국순당,043650,2016/12,-6487771,-2760688
(주)국순당,043650,2017/12,-4263332,9687855
(주)국순당,043650,2018/12,-2994444,-2977369
(주)국순당,043650,2019/12,-5966921,-8269903
(주)국영지앤엠,006050,2011/12,,
(주)국영지앤엠,006050,2012/12,,
(주)국영지앤엠,006050,2013/12,,
(주)국영지앤엠,006050,2014/12,,
(주)국영지앤엠,006050,2015/12,,
(주)국영지앤엠,006050,2016/12,,
(주)국영지앤엠,006050,2017/12,,
(주)국영지앤엠,006050,2018/12,,
(주)국영지앤엠,006050,2019/12,,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)그래디언트,035080,2011/12,-17906695,-12292479
(주)그래디언트,035080,2012/12,14020875,12756395
(주)그래디언트,035080,2013/12,47742962,23780984
(주)그래디언트,035080,2014/12,51009616,39203996
(주)그래디언트,035080,2015/12,65149099,42995247
(주)그래디언트,035080,2016/12,49505493,-39011241
(주)그래디언트,035080,2017/12,29816493,-63634928
(주)그래디언트,035080,2018/12,19963614,-4194664
(주)그래디언트,035080,2019/12,45164129,6507368
(주)그리티,204020,2018/12,8045203,4810592
(주)그리티,204020,2019/12,2913982,1563323
(주)그린플러스,186230,2019/12,5077238,2533086
(주)글로벌스탠다드테크놀로지,083450,2011/12,4242807,3521902
(주)글로벌스탠다드테크놀로지,083450,2012/12,8120683,7003711
(주)글로벌스탠다드테크놀로지,083450,2013/12,7530078,5925826
(주)글로벌스탠다드테크놀로지,083450,2014/12,8599178,7880919
(주)글로벌스탠다드테크놀로지,083450,2015/12,6011588,5703892
(주)글로벌스탠다드테크놀로지,083450,2016/12,4877910,4644376
(주)글로벌스탠다드테크놀로지,083450,2017/12,22260787,15756344
(주)글로벌스탠다드테크놀로지,083450,2018/12,10405764,10303468
(주)글로벌스탠다드테크놀로지,083450,2019/12,21908352,17968416
(주)금양,001570,2011/12,6952664,2964115
(주)금양,001570,2012/12,6614054,3717420
(주)금양,001570,2013/12,5644293,719232
(주)금양,001570,2014/12,5163631,-111826
(주)금양,001570,2015/12,6855670,14474633
(주)금양,001570,2016/12,12127454,-20526295
(주)금양,001570,2017/12,13140970,18645438
(주)금양,001570,2018/12,13526326,20253300
(주)금양,001570,2019/12,9211215,-10903987
(주)금호에이치티,214330,2015/12,20339189,14971109
(주)금호에이치티,214330,2016/12,14295443,8354070
(주)금호에이치티,214330,2017/12,8924225,4933421
(주)금호에이치티,214330,2018/12,10493446,7792877
(주)금호에이치티,214330,2019/12,4059148,-75223
(주)금화피에스시,036190,2011/12,,
(주)금화피에스시,036190,2012/12,,
(주)금화피에스시,036190,2013/12,27103680,22786047
(주)금화피에스시,036190,2014/12,23448696,21397903
(주)금화피에스시,036190,2015/12,27682715,22676558
(주)금화피에스시,036190,2016/12,29816098,23917682
(주)금화피에스시,036190,2017/12,33863833,20153925
(주)금화피에스시,036190,2018/12,41384787,39649709
(주)금화피에스시,036190,2019/12,34327291,27677441
(주)기가레인,049080,2013/12,12948738,10828194
(주)기가레인,049080,2014/12,9101817,7764423
(주)기가레인,049080,2015/12,-18852731,-13369109
(주)기가레인,049080,2016/12,-9108288,-10347329
(주)기가레인,049080,2017/12,5232144,1839181
(주)기가레인,049080,2018/12,-2497484,-21635992
(주)기가레인,049080,2019/12,-29598747,-46059977
(주)기산텔레콤,035460,2011/12,-10359858,-12092371
(주)기산텔레콤,035460,2012/12,1714513,-1882261
(주)기산텔레콤,035460,2013/12,5120351,3928729
(주)기산텔레콤,035460,2014/12,1747320,2744606
(주)기산텔레콤,035460,2015/12,1595421,1701580
(주)기산텔레콤,035460,2016/12,-2914471,-2639743
(주)기산텔레콤,035460,2017/12,-3230591,-5538516
(주)기산텔레콤,035460,2018/12,-2927420,-3327575
(주)기산텔레콤,035460,2019/12,3995820,3498486
(주)까뮤이앤씨,013700,2011/12,,
(주)까뮤이앤씨,013700,2012/12,,
(주)까뮤이앤씨,013700,2013/12,,
(주)까뮤이앤씨,013700,2014/12,,
(주)까뮤이앤씨,013700,2015/12,,
(주)까뮤이앤씨,013700,2016/12,,
(주)까뮤이앤씨,013700,2017/12,,
(주)까뮤이앤씨,013700,2018/12,,
(주)까뮤이앤씨,013700,2019/12,,
(주)까스텔바작,308100,2019/12,9018785,6869624
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,-8471990,-8990586
(주)나노,187790,2016/12,-14162416,-24388859
(주)나노,187790,2017/12,1661616,89291
(주)나노,187790,2018/12,2193238,-467314
(주)나노,187790,2019/12,-869772,-298564
(주)나노브릭,286750,2019/12,-1512607,-758997
(주)나노신소재,121600,2011/12,4489990,4687969
(주)나노신소재,121600,2012/12,-699837,-1446732
(주)나노신소재,121600,2013/12,1396876,1166791
(주)나노신소재,121600,2014/12,3699232,3793548
(주)나노신소재,121600,2015/12,9096516,7655911
(주)나노신소재,121600,2016/12,6294911,5940058
(주)나노신소재,121600,2017/12,8531076,6827889
(주)나노신소재,121600,2018/12,8749523,7671621
(주)나노신소재,121600,2019/12,5143898,5801286
(주)나노엔텍,039860,2011/12,-11116954,-12202620
(주)나노엔텍,039860,2012/12,-5328956,-5883367
(주)나노엔텍,039860,2013/12,-473071,-1236713
(주)나노엔텍,039860,2014/12,-2591623,-2464001
(주)나노엔텍,039860,2015/12,-7211152,-7471283
(주)나노엔텍,039860,2016/12,-9685305,-14798956
(주)나노엔텍,039860,2017/12,1672406,-2072184
(주)나노엔텍,039860,2018/12,2825936,3308228
(주)나노엔텍,039860,2019/12,3051217,5749945
(주)나무가,190510,2015/12,25666181,8484512
(주)나무가,190510,2016/12,-669505,-4188413
(주)나무가,190510,2017/12,-31479937,-40918809
(주)나무가,190510,2018/12,1857186,3585210
(주)나무가,190510,2019/12,2666025,761993
(주)나스미디어,089600,2013/12,,
(주)나스미디어,089600,2014/12,,
(주)나스미디어,089600,2015/12,,
(주)나스미디어,089600,2016/12,15433276,11972406
(주)나스미디어,089600,2017/12,34298134,26676052
(주)나스미디어,089600,2018/12,24946232,20596334
(주)나스미디어,089600,2019/12,30558603,22484088
(주)나이벡,138610,2011/12,,
(주)나이벡,138610,2012/12,,
(주)나이벡,138610,2013/12,,
(주)나이벡,138610,2014/12,,
(주)나이벡,138610,2015/12,,
(주)나이벡,138610,2016/12,,
(주)나이벡,138610,2017/12,,
(주)나이벡,138610,2018/12,,
(주)나이벡,138610,2019/12,,
(주)나이스디앤비,130580,2011/12,,
(주)나이스디앤비,130580,2012/12,,
(주)나이스디앤비,130580,2013/12,,
(주)나이스디앤비,130580,2014/12,,
(주)나이스디앤비,130580,2015/12,4943229,4366625
(주)나이스디앤비,130580,2016/12,6465327,5728563
(주)나이스디앤비,130580,2017/12,8454239,6414092
(주)나이스디앤비,130580,2018/12,10423254,9299592
(주)나이스디앤비,130580,2019/12,12798062,11280367
(주)나이스홀딩스,034310,2011/12,46386311,33822237
(주)나이스홀딩스,034310,2012/12,44716912,44882758
(주)나이스홀딩스,034310,2013/12,73230416,62806974
(주)나이스홀딩스,034310,2014/12,71783757,55092480
(주)나이스홀딩스,034310,2015/12,91245321,62112334
(주)나이스홀딩스,034310,2016/12,126926939,90779251
(주)나이스홀딩스,034310,2017/12,122598327,92750994
(주)나이스홀딩스,034310,2018/12,128330972,99301937
(주)나이스홀딩스,034310,2019/12,154235020,136602241
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)남선알미늄,008350,2011/12,4920524,24748177
(주)남선알미늄,008350,2012/12,,
(주)남선알미늄,008350,2013/12,,
(주)남선알미늄,008350,2014/12,,
(주)남선알미늄,008350,2015/12,,
(주)남선알미늄,008350,2016/12,,
(주)남선알미늄,008350,2017/12,,
(주)남선알미늄,008350,2018/12,9426031,25220519
(주)남선알미늄,008350,2019/12,11578883,14479409
(주)남성,004270,2011/12,-328193,-1490488
(주)남성,004270,2012/12,-35940,-6862343
(주)남성,004270,2013/12,2046577,-732650
(주)남성,004270,2014/12,1582754,-3975359
(주)남성,004270,2015/12,2786303,-520743
(주)남성,004270,2016/12,4559142,1327730
(주)남성,004270,2017/12,7210225,1356665
(주)남성,004270,2018/12,976778,-3576375
(주)남성,004270,2019/12,461285,-2196177
(주)내츄럴엔도텍,168330,2013/12,,
(주)내츄럴엔도텍,168330,2014/12,,
(주)내츄럴엔도텍,168330,2015/12,-10890671,-15644528
(주)내츄럴엔도텍,168330,2016/12,-9391306,-13177152
(주)내츄럴엔도텍,168330,2017/12,-5391216,-8860824
(주)내츄럴엔도텍,168330,2018/12,-13587339,-23238141
(주)내츄럴엔도텍,168330,2019/12,-11129699,-16008383
(주)네오리진,094860,2011/12,1434105,649924
(주)네오리진,094860,2012/12,,
(주)네오리진,094860,2013/12,,
(주)네오리진,094860,2014/12,,
(주)네오리진,094860,2015/12,,
(주)네오리진,094860,2016/12,,
(주)네오리진,094860,2017/12,168664,166207
(주)네오리진,094860,2018/12,,
(주)네오리진,094860,2019/12,,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,-3334110,-1569501
(주)네오오토,212560,2015/12,,
(주)네오오토,212560,2016/12,,
(주)네오오토,212560,2017/12,,
(주)네오오토,212560,2018/12,,
(주)네오오토,212560,2019/12,,
(주)네오위즈,095660,2011/12,106795298,72509057
(주)네오위즈,095660,2012/12,110533910,5785127
(주)네오위즈,095660,2013/12,95810930,47902452
(주)네오위즈,095660,2014/12,29526267,-7518864
(주)네오위즈,095660,2015/12,15802494,-21999145
(주)네오위즈,095660,2016/12,23471441,10019732
(주)네오위즈,095660,2017/12,10872808,-2143713
(주)네오위즈,095660,2018/12,22555606,33524295
(주)네오위즈,095660,2019/12,32567478,27623322
(주)네오위즈홀딩스,042420,2011/12,116011172,76477186
(주)네오위즈홀딩스,042420,2012/12,108650699,14011965
(주)네오위즈홀딩스,042420,2013/12,101248218,60936261
(주)네오위즈홀딩스,042420,2014/12,39319220,59392874
(주)네오위즈홀딩스,042420,2015/12,14452647,48128532
(주)네오위즈홀딩스,042420,2016/12,22359830,-8220048
(주)네오위즈홀딩스,042420,2017/12,10628248,-6798711
(주)네오위즈홀딩스,042420,2018/12,21139486,43566139
(주)네오위즈홀딩스,042420,2019/12,29418403,38332009
(주)네오크레마,311390,2019/12,665101,1025691
(주)네오티스,085910,2011/12,,
(주)네오티스,085910,2012/12,,
(주)네오티스,085910,2013/12,3432123,2426104
(주)네오티스,085910,2014/12,3995727,3063380
(주)네오티스,085910,2015/12,2007867,-3593014
(주)네오티스,085910,2016/12,2530772,-1601111
(주)네오티스,085910,2017/12,3266173,-7249334
(주)네오티스,085910,2018/12,4693123,3178419
(주)네오티스,085910,2019/12,3357376,1456670
(주)네오팜,092730,2011/12,,
(주)네오팜,092730,2012/12,,
(주)네오팜,092730,2013/12,,
(주)네오팜,092730,2014/12,,
(주)네오팜,092730,2015/12,,
(주)네오팜,092730,2016/12,9552938,7742494
(주)네오팜,092730,2017/12,14037876,11559211
(주)네오팜,092730,2018/12,19161762,15369685
(주)네오팜,092730,2019/12,22960501,19245382
(주)네오펙트,290660,2018/12,-5238860,-9634328
(주)네오펙트,290660,2019/12,-13648970,-15875139
(주)네온테크,306620,2018/12,,
(주)네온테크,306620,2019/12,,
(주)네이블커뮤니케이션즈,153460,2012/12,,
(주)네이블커뮤니케이션즈,153460,2013/12,,
(주)네이블커뮤니케이션즈,153460,2014/12,132220,487174
(주)네이블커뮤니케이션즈,153460,2015/12,,
(주)네이블커뮤니케이션즈,153460,2016/12,,
(주)네이블커뮤니케이션즈,153460,2017/12,,
(주)네이블커뮤니케이션즈,153460,2018/12,,
(주)네이블커뮤니케이션즈,153460,2019/12,,
(주)네이처셀,007390,2011/12,,
(주)네이처셀,007390,2012/12,,
(주)네이처셀,007390,2013/12,,
(주)네이처셀,007390,2014/12,,
(주)네이처셀,007390,2015/12,,
(주)네이처셀,007390,2016/12,,
(주)네이처셀,007390,2017/12,,
(주)네이처셀,007390,2018/12,,
