회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)강원랜드,035250,2015/12,-399445183,-398949073
(주)강원랜드,035250,2016/12,-414060181,-411462350
(주)강원랜드,035250,2017/12,-253342340,-250223124
(주)강원랜드,035250,2018/12,-205028726,-202048061
(주)강원랜드,035250,2019/12,-212758098,-211308893
(주)강원에너지,114190,2011/11,-4700331,
(주)강원에너지,114190,2012/12,-21039487,
(주)강원에너지,114190,2013/12,10839414,
(주)강원에너지,114190,2014/12,-2463292,
(주)강원에너지,114190,2015/12,-3757172,-4069038
(주)강원에너지,114190,2016/12,2857618,-272939
(주)강원에너지,114190,2017/12,484043,-746589
(주)강원에너지,114190,2018/12,-2019808,-801059
(주)강원에너지,114190,2019/12,-14691822,-14687728
(주)갤럭시아에스엠,011420,2011/12,-1378082,381972
(주)갤럭시아에스엠,011420,2012/12,-596085,-5044476
(주)갤럭시아에스엠,011420,2013/12,-2653809,-9658129
(주)갤럭시아에스엠,011420,2014/12,1643309,-458207
(주)갤럭시아에스엠,011420,2015/12,-5256354,-3398195
(주)갤럭시아에스엠,011420,2016/12,-840372,-559339
(주)갤럭시아에스엠,011420,2017/12,-924879,-1969493
(주)갤럭시아에스엠,011420,2018/12,1036438,1068801
(주)갤럭시아에스엠,011420,2019/12,1061814,995670
(주)경농,002100,2011/12,-12823304,-9444978
(주)경농,002100,2012/12,-25162774,-6775458
(주)경농,002100,2013/12,-11015907,-1125346
(주)경농,002100,2014/12,-18882330,-16252739
(주)경농,002100,2015/12,-19075073,-14264573
(주)경농,002100,2016/12,-2415338,-14091883
(주)경농,002100,2017/12,-3577143,-12828629
(주)경농,002100,2018/12,-4316014,-12754265
(주)경농,002100,2019/12,-2614186,6297614
(주)경동나비엔,009450,2011/12,-14561296,-19734957
(주)경동나비엔,009450,2012/12,-21037803,-29096492
(주)경동나비엔,009450,2013/12,-62575806,-67412813
(주)경동나비엔,009450,2014/12,-19195852,-38148799
(주)경동나비엔,009450,2015/12,1854034,-7238540
(주)경동나비엔,009450,2016/12,-13002830,-22069978
(주)경동나비엔,009450,2017/12,-25344330,-40198288
(주)경동나비엔,009450,2018/12,-31457522,-44715979
(주)경동나비엔,009450,2019/12,-22368814,-51466326
(주)경동도시가스,267290,2017/12,-54094509,-54218575
(주)경동도시가스,267290,2018/12,-58283279,-58533558
(주)경동도시가스,267290,2019/12,-46233496,-46540342
(주)경동인베스트,012320,2011/12,-80527912,-63153791
(주)경동인베스트,012320,2012/12,-67159239,-60092789
(주)경동인베스트,012320,2013/12,-19477359,-38215830
(주)경동인베스트,012320,2014/12,-30415596,-36929956
(주)경동인베스트,012320,2015/12,-101000740,-128436091
(주)경동인베스트,012320,2016/12,-20799465,-25524035
(주)경동인베스트,012320,2017/12,-11098576,-20172592
(주)경동인베스트,012320,2018/12,2952258,35768379
(주)경동인베스트,012320,2019/12,-4938785,-8561739
(주)경방,000050,2011/12,-26435986,-26322473
(주)경방,000050,2012/12,-19372995,-27697875
(주)경방,000050,2013/12,669867,-3280250
(주)경방,000050,2014/12,-30920122,-33885316
(주)경방,000050,2015/12,-5543521,-36713625
(주)경방,000050,2016/12,-3211754,-13675594
(주)경방,000050,2017/12,6831805,-19767162
(주)경방,000050,2018/12,-32823008,-25719906
(주)경방,000050,2019/12,-79930463,-45096923
(주)경보제약,214390,2015/12,-27781942,
(주)경보제약,214390,2016/12,-20158761,
(주)경보제약,214390,2017/12,-6395974,
(주)경보제약,214390,2018/12,-8194652,
(주)경보제약,214390,2019/12,-28127563,
(주)경인양행,012610,2011/12,-4871100,-9877016
(주)경인양행,012610,2012/12,-2384505,-5059446
(주)경인양행,012610,2013/12,-515260,-3527107
(주)경인양행,012610,2014/12,-9760461,-12201523
(주)경인양행,012610,2015/12,-3554826,-10080952
(주)경인양행,012610,2016/12,-1366831,-7033423
(주)경인양행,012610,2017/12,-16850427,-25434854
(주)경인양행,012610,2018/12,-23651736,-31671509
(주)경인양행,012610,2019/12,-30689433,-46297964
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,-14608429,
(주)고려시멘트,198440,2018/12,-9952075,
(주)고려시멘트,198440,2019/12,3351444,
(주)고영테크놀러지,098460,2011/12,-14532348,-15045937
(주)고영테크놀러지,098460,2012/12,-7979723,-8116145
(주)고영테크놀러지,098460,2013/12,-6515012,-6568022
(주)고영테크놀러지,098460,2014/12,-14388870,-14447901
(주)고영테크놀러지,098460,2015/12,-1567764,-1979022
(주)고영테크놀러지,098460,2016/12,-6754347,-7025366
(주)고영테크놀러지,098460,2017/12,5318936,5201174
(주)고영테크놀러지,098460,2018/12,-72061061,-72484067
(주)고영테크놀러지,098460,2019/12,-6674843,-7879555
(주)골드앤에스,035290,2011/12,-9221199,-8498088
(주)골드앤에스,035290,2012/12,-9218663,-9284293
(주)골드앤에스,035290,2013/12,-1001142,-1383374
(주)골드앤에스,035290,2014/12,-915815,-1764445
(주)골드앤에스,035290,2015/12,-5520151,-5567330
(주)골드앤에스,035290,2016/12,112543,94530
(주)골드앤에스,035290,2017/12,-5268662,-6335735
(주)골드앤에스,035290,2018/12,-12992586,-12675663
(주)골드앤에스,035290,2019/12,-4973680,-4713771
(주)골드퍼시픽,038530,2011/12,-7888757,
(주)골드퍼시픽,038530,2012/12,1614727,
(주)골드퍼시픽,038530,2013/12,-1723987,-6853546
(주)골드퍼시픽,038530,2014/12,-3778013,-3323988
(주)골드퍼시픽,038530,2015/12,235416,1337628
(주)골드퍼시픽,038530,2016/12,-354491,
(주)골드퍼시픽,038530,2017/12,-10288331,
(주)골드퍼시픽,038530,2018/12,-8720801,-5614342
(주)골드퍼시픽,038530,2019/12,-54745086,
(주)골프존,215000,2015/12,-5207190,-4207242
(주)골프존,215000,2016/12,-33314421,-33604113
(주)골프존,215000,2017/12,10630625,11830916
(주)골프존,215000,2018/12,-53326757,-56231601
(주)골프존,215000,2019/12,-48182499,-46930786
(주)골프존뉴딘홀딩스,121440,2011/12,-195848455,-173047588
(주)골프존뉴딘홀딩스,121440,2012/12,-103439750,-91334075
(주)골프존뉴딘홀딩스,121440,2013/12,-74006949,-90093517
(주)골프존뉴딘홀딩스,121440,2014/12,-27801730,-75886421
(주)골프존뉴딘홀딩스,121440,2015/12,11509974,10947085
(주)골프존뉴딘홀딩스,121440,2016/12,-7704028,-11134900
(주)골프존뉴딘홀딩스,121440,2017/12,21294649,-754187
(주)골프존뉴딘홀딩스,121440,2018/12,-22304789,-36752525
(주)골프존뉴딘홀딩스,121440,2019/12,3095111,15355506
(주)광림,014200,2011/12,11284092,
(주)광림,014200,2012/12,-281965,
(주)광림,014200,2013/12,-11827159,
(주)광림,014200,2014/12,-19433678,-13004183
(주)광림,014200,2015/12,-86902095,
(주)광림,014200,2016/12,-23751125,-11978430
(주)광림,014200,2017/12,-12037167,-7625214
(주)광림,014200,2018/12,-1944893,-8169183
(주)광림,014200,2019/12,-37280398,-47636791
(주)광명전기,017040,2011/12,-1449039,-1505720
(주)광명전기,017040,2012/12,-1250745,-1024973
(주)광명전기,017040,2013/12,1304261,373757
(주)광명전기,017040,2014/12,-5355171,-7261188
(주)광명전기,017040,2015/12,2980677,2326377
(주)광명전기,017040,2016/12,-7057653,-35162672
(주)광명전기,017040,2017/12,-4084096,-8947369
(주)광명전기,017040,2018/12,-1391132,-2977933
(주)광명전기,017040,2019/12,-22239879,-24504535
(주)광무,029480,2011/12,-26650423,-26234397
(주)광무,029480,2012/12,5189931,4070985
(주)광무,029480,2013/12,-6156953,-4579970
(주)광무,029480,2014/12,2564009,
(주)광무,029480,2015/12,2044961,
(주)광무,029480,2016/12,-3007014,
(주)광무,029480,2017/12,-7185601,
(주)광무,029480,2018/12,-1332045,-319877
(주)광무,029480,2019/12,-18999421,-17176123
(주)광주신세계,037710,2011/12,-54058672,
(주)광주신세계,037710,2012/12,-43652264,
(주)광주신세계,037710,2013/12,-274884013,
(주)광주신세계,037710,2014/12,-5467556,
(주)광주신세계,037710,2015/12,-5629270,
(주)광주신세계,037710,2016/12,-9172921,
(주)광주신세계,037710,2017/12,-3587726,
(주)광주신세계,037710,2018/12,-658704,
(주)광주신세계,037710,2019/12,-55381469,
(주)구영테크,053270,2011/12,-7112406,-9334663
(주)구영테크,053270,2012/12,-12928824,-19332088
(주)구영테크,053270,2013/12,7208450,2200348
(주)구영테크,053270,2014/12,-475784,-7627163
(주)구영테크,053270,2015/12,-4054529,-9701693
(주)구영테크,053270,2016/12,-10098787,-16813216
(주)구영테크,053270,2017/12,-21760013,-23239804
(주)구영테크,053270,2018/12,-14236839,-19303224
(주)구영테크,053270,2019/12,-5659531,-6494849
(주)국동,005320,2011/12,-101794,-563056
(주)국동,005320,2012/12,-1294262,-802263
(주)국동,005320,2013/12,264854,-1008688
(주)국동,005320,2014/12,-1656764,-4423508
(주)국동,005320,2015/12,-9860769,-3399517
(주)국동,005320,2016/12,-3327326,-15940624
(주)국동,005320,2017/12,-357799,-4410422
(주)국동,005320,2018/12,3111773,1472014
(주)국동,005320,2019/12,-30786612,-23961325
(주)국보,001140,2011/12,784698,961955
(주)국보,001140,2012/12,-1146905,-1274126
(주)국보,001140,2013/12,-4284683,-3656970
(주)국보,001140,2014/12,573563,604389
(주)국보,001140,2015/12,3006756,3057463
(주)국보,001140,2016/12,606081,194932
(주)국보,001140,2017/12,-753184,-531778
(주)국보,001140,2018/12,20506005,20673339
(주)국보,001140,2019/12,-9888438,-2963513
(주)국보디자인,066620,2011/12,-12284777,-9687267
(주)국보디자인,066620,2012/12,-7157603,-7894541
(주)국보디자인,066620,2013/12,-25637094,-24803246
(주)국보디자인,066620,2014/12,-8765083,-10641719
(주)국보디자인,066620,2015/12,-5527725,-9937234
(주)국보디자인,066620,2016/12,-5351274,-3570086
(주)국보디자인,066620,2017/12,-3705288,-1877183
(주)국보디자인,066620,2018/12,-6824210,-8679349
(주)국보디자인,066620,2019/12,-9008695,-3573627
(주)국순당,043650,2011/12,-10565958,-9565683
(주)국순당,043650,2012/12,-10808940,-10521522
(주)국순당,043650,2013/12,-7201301,-3743052
(주)국순당,043650,2014/12,-3795767,5409553
(주)국순당,043650,2015/12,-350008,4802344
(주)국순당,043650,2016/12,-11010751,-12698994
(주)국순당,043650,2017/12,-3908307,15508783
(주)국순당,043650,2018/12,-23419217,-3833228
(주)국순당,043650,2019/12,17963082,19566430
(주)국영지앤엠,006050,2011/12,-18568769,
(주)국영지앤엠,006050,2012/12,9456019,
(주)국영지앤엠,006050,2013/12,-298265,
(주)국영지앤엠,006050,2014/12,364719,
(주)국영지앤엠,006050,2015/12,-1747715,
(주)국영지앤엠,006050,2016/12,-498703,
(주)국영지앤엠,006050,2017/12,-3251231,
(주)국영지앤엠,006050,2018/12,-329312,
(주)국영지앤엠,006050,2019/12,-396408,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)그래디언트,035080,2011/12,-173122093,-260754525
(주)그래디언트,035080,2012/12,52111793,52759251
(주)그래디언트,035080,2013/12,2521692,-10169694
(주)그래디언트,035080,2014/12,13463237,-138819396
(주)그래디언트,035080,2015/12,-11708445,-21576537
(주)그래디언트,035080,2016/12,10175946,-65823461
(주)그래디언트,035080,2017/12,-1423754,-158100941
(주)그래디언트,035080,2018/12,2772568,-34993424
(주)그래디언트,035080,2019/12,1879505,-88105524
(주)그리티,204020,2018/12,-24763196,-23503665
(주)그리티,204020,2019/12,4865664,11577718
(주)그린플러스,186230,2019/12,-1466296,-833175
(주)글로벌스탠다드테크놀로지,083450,2011/12,-8018854,-8602113
(주)글로벌스탠다드테크놀로지,083450,2012/12,2709335,2920877
(주)글로벌스탠다드테크놀로지,083450,2013/12,-1241318,-2967228
(주)글로벌스탠다드테크놀로지,083450,2014/12,-2949094,-3285187
(주)글로벌스탠다드테크놀로지,083450,2015/12,-6587826,-9000109
(주)글로벌스탠다드테크놀로지,083450,2016/12,-2958189,-3735368
(주)글로벌스탠다드테크놀로지,083450,2017/12,-11691693,-11451677
(주)글로벌스탠다드테크놀로지,083450,2018/12,-8950470,-6874684
(주)글로벌스탠다드테크놀로지,083450,2019/12,-5336020,-4544589
(주)금비,008870,2011/09,-37446901,-47042393
(주)금비,008870,2012/09,-3028774,-818772
(주)금비,008870,2013/09,-4899854,-12924970
(주)금비,008870,2014/09,-11919825,-18434620
(주)금비,008870,2015/09,-1576076,-12543676
(주)금비,008870,2016/09,-11532048,-18296006
(주)금비,008870,2017/09,-3612670,-10670278
(주)금비,008870,2018/09,-4887190,-10311501
(주)금비,008870,2019/09,-3978628,-21688731
(주)금양,001570,2011/12,-9889332,-12571372
(주)금양,001570,2012/12,-4588649,-2042502
(주)금양,001570,2013/12,-5026711,-5428647
(주)금양,001570,2014/12,-3441343,-3644286
(주)금양,001570,2015/12,-10393782,-14191694
(주)금양,001570,2016/12,-7926270,-25422638
(주)금양,001570,2017/12,3248321,36103858
(주)금양,001570,2018/12,-1308968,-11960943
(주)금양,001570,2019/12,2464547,-8906710
(주)금호에이치티,214330,2015/12,-6309220,-11722997
(주)금호에이치티,214330,2016/12,-36468175,-36388667
(주)금호에이치티,214330,2017/12,-2261968,-2282805
(주)금호에이치티,214330,2018/12,-40567013,-28172858
(주)금호에이치티,214330,2019/12,-64730024,-60794284
(주)금화피에스시,036190,2011/12,-15744622,
(주)금화피에스시,036190,2012/12,-7136828,
(주)금화피에스시,036190,2013/12,-12869887,-7778578
(주)금화피에스시,036190,2014/12,1113641,1994456
(주)금화피에스시,036190,2015/12,-11723955,-13183325
(주)금화피에스시,036190,2016/12,-20071544,-23645928
(주)금화피에스시,036190,2017/12,-37436939,-38640412
(주)금화피에스시,036190,2018/12,-15380846,-18288162
(주)금화피에스시,036190,2019/12,-4321502,-5957598
(주)기가레인,049080,2013/12,-23508555,-22492882
(주)기가레인,049080,2014/12,-26623360,-26061991
(주)기가레인,049080,2015/12,-21080726,-19440087
(주)기가레인,049080,2016/12,-14467677,-14973495
(주)기가레인,049080,2017/12,-10625525,-11214399
(주)기가레인,049080,2018/12,2263291,4405045
(주)기가레인,049080,2019/12,-1695891,-1368041
(주)기산텔레콤,035460,2011/12,-11861764,-10995902
(주)기산텔레콤,035460,2012/12,7946511,6418760
(주)기산텔레콤,035460,2013/12,-481364,9873020
(주)기산텔레콤,035460,2014/12,-987658,294047
(주)기산텔레콤,035460,2015/12,2327290,-306123
(주)기산텔레콤,035460,2016/12,-6745004,-9169099
(주)기산텔레콤,035460,2017/12,39118,-380704
(주)기산텔레콤,035460,2018/12,-3968651,-1096094
(주)기산텔레콤,035460,2019/12,-1044708,1207822
(주)까뮤이앤씨,013700,2011/12,-546,
(주)까뮤이앤씨,013700,2012/12,813475,
(주)까뮤이앤씨,013700,2013/12,26180276,
(주)까뮤이앤씨,013700,2014/12,55871469,
(주)까뮤이앤씨,013700,2015/12,4628456,
(주)까뮤이앤씨,013700,2016/12,-4019364,
(주)까뮤이앤씨,013700,2017/12,6319430,
(주)까뮤이앤씨,013700,2018/12,-2770216,
(주)까뮤이앤씨,013700,2019/12,772040,
(주)까스텔바작,308100,2019/12,-6860983,-6891769
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,2156639,9238812
(주)나노,187790,2016/12,-83842,-5640576
(주)나노,187790,2017/12,-3282598,-5252700
(주)나노,187790,2018/12,-15201451,-12769512
(주)나노,187790,2019/12,-2763790,-5432329
(주)나노브릭,286750,2019/12,-4977169,-4977169
(주)나노신소재,121600,2011/12,-13657299,-13390625
(주)나노신소재,121600,2012/12,-705165,-708451
(주)나노신소재,121600,2013/12,754888,746725
(주)나노신소재,121600,2014/12,-1362579,-1364466
(주)나노신소재,121600,2015/12,-5217538,-5219510
(주)나노신소재,121600,2016/12,-4761744,-4770690
(주)나노신소재,121600,2017/12,-11412526,-11462551
(주)나노신소재,121600,2018/12,-1616867,-1616867
(주)나노신소재,121600,2019/12,-7681809,-5935071
(주)나노엔텍,039860,2011/12,-16468752,-15522785
(주)나노엔텍,039860,2012/12,2932043,2933276
(주)나노엔텍,039860,2013/12,-1256479,715880
(주)나노엔텍,039860,2014/12,-1348355,-1348355
(주)나노엔텍,039860,2015/12,-2774817,-1138904
(주)나노엔텍,039860,2016/12,-7733187,-4177792
(주)나노엔텍,039860,2017/12,-764564,-745312
(주)나노엔텍,039860,2018/12,-2316932,-1601558
(주)나노엔텍,039860,2019/12,-1015021,-1014487
(주)나무가,190510,2015/12,-31018341,-47858882
(주)나무가,190510,2016/12,-19753697,-23761704
(주)나무가,190510,2017/12,19205940,12060889
(주)나무가,190510,2018/12,3758869,-1488984
(주)나무가,190510,2019/12,-7548559,-46094420
(주)나스미디어,089600,2013/12,-7512400,
(주)나스미디어,089600,2014/12,3173962,
(주)나스미디어,089600,2015/12,-5865117,
(주)나스미디어,089600,2016/12,-8990389,2997355
(주)나스미디어,089600,2017/12,-16569464,-18508408
(주)나스미디어,089600,2018/12,-15739997,-14371403
(주)나스미디어,089600,2019/12,-947235,588602
(주)나이벡,138610,2011/12,-1930112,
(주)나이벡,138610,2012/12,-2438671,
(주)나이벡,138610,2013/12,-2109946,
(주)나이벡,138610,2014/12,-676226,
(주)나이벡,138610,2015/12,-3040273,
(주)나이벡,138610,2016/12,-2778691,
(주)나이벡,138610,2017/12,-4093449,
(주)나이벡,138610,2018/12,-2351276,
(주)나이벡,138610,2019/12,-9695948,
(주)나이스디앤비,130580,2011/12,-9515205,
(주)나이스디앤비,130580,2012/12,-3058282,
(주)나이스디앤비,130580,2013/12,-3580449,
(주)나이스디앤비,130580,2014/12,-3063677,
(주)나이스디앤비,130580,2015/12,-2105151,-451210
(주)나이스디앤비,130580,2016/12,-3456223,-3185861
(주)나이스디앤비,130580,2017/12,-4254073,-4602273
(주)나이스디앤비,130580,2018/12,-6263631,-7014982
(주)나이스디앤비,130580,2019/12,-6925983,-6904512
(주)나이스홀딩스,034310,2011/12,-12317648,-35618472
(주)나이스홀딩스,034310,2012/12,-29280416,-42592423
(주)나이스홀딩스,034310,2013/12,-14733012,-36163900
(주)나이스홀딩스,034310,2014/12,-37146465,-99618054
(주)나이스홀딩스,034310,2015/12,-24873791,-191994610
(주)나이스홀딩스,034310,2016/12,-5556862,-25311373
(주)나이스홀딩스,034310,2017/12,-8577398,-24186956
(주)나이스홀딩스,034310,2018/12,-58247348,-264411423
(주)나이스홀딩스,034310,2019/12,-43529842,-353962453
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)남선알미늄,008350,2011/12,-7025880,-7015880
(주)남선알미늄,008350,2012/12,-8064264,
(주)남선알미늄,008350,2013/12,-3902302,
(주)남선알미늄,008350,2014/12,-4041093,
(주)남선알미늄,008350,2015/12,-4412231,
(주)남선알미늄,008350,2016/12,-15637387,
(주)남선알미늄,008350,2017/12,-14334512,
(주)남선알미늄,008350,2018/12,-8718754,-8218754
(주)남선알미늄,008350,2019/12,-10823108,-2623108
(주)남성,004270,2011/12,-5291716,2345494
(주)남성,004270,2012/12,2682031,62364
(주)남성,004270,2013/12,11848902,11631066
(주)남성,004270,2014/12,-451156,-1713446
(주)남성,004270,2015/12,1594340,177872
(주)남성,004270,2016/12,3784150,3703663
(주)남성,004270,2017/12,-11133987,-1121450
(주)남성,004270,2018/12,-4441748,-4322939
(주)남성,004270,2019/12,-2465640,2843471
(주)내츄럴엔도텍,168330,2013/12,-10828875,
(주)내츄럴엔도텍,168330,2014/12,-35461089,
(주)내츄럴엔도텍,168330,2015/12,2460579,2827536
(주)내츄럴엔도텍,168330,2016/12,-12113212,-11830936
(주)내츄럴엔도텍,168330,2017/12,-2471974,-1469509
(주)내츄럴엔도텍,168330,2018/12,7977227,9483663
(주)내츄럴엔도텍,168330,2019/12,-896581,1227606
(주)네오리진,094860,2011/12,-9331372,-12075439
(주)네오리진,094860,2012/12,-14766637,
(주)네오리진,094860,2013/12,-4340723,
(주)네오리진,094860,2014/12,-2383450,
(주)네오리진,094860,2015/12,110724,
(주)네오리진,094860,2016/12,-1183314,
(주)네오리진,094860,2017/12,-2072357,-1705199
(주)네오리진,094860,2018/12,-1188446,
(주)네오리진,094860,2019/12,-805680,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,9052284,9442537
(주)네오오토,212560,2015/12,-42051050,
(주)네오오토,212560,2016/12,-30105668,
(주)네오오토,212560,2017/12,-20169053,
(주)네오오토,212560,2018/12,-13786952,
(주)네오오토,212560,2019/12,-10109594,
(주)네오위즈,095660,2011/12,-168703709,-101649646
(주)네오위즈,095660,2012/12,-76202012,-61114202
(주)네오위즈,095660,2013/12,-65714568,-63496408
(주)네오위즈,095660,2014/12,14151001,-978512
(주)네오위즈,095660,2015/12,-22082546,24885926
(주)네오위즈,095660,2016/12,35724684,38200552
(주)네오위즈,095660,2017/12,-13655350,-7953948
(주)네오위즈,095660,2018/12,-21376212,-16498677
(주)네오위즈,095660,2019/12,-31712425,-40936058
(주)네오위즈홀딩스,042420,2011/12,-29586477,25364520
(주)네오위즈홀딩스,042420,2012/12,-12411081,-77145326
(주)네오위즈홀딩스,042420,2013/12,87782,-91380877
(주)네오위즈홀딩스,042420,2014/12,-10975470,-16099481
(주)네오위즈홀딩스,042420,2015/12,-4637557,-24694434
