회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결)
(주)경농,002100,2018/12,201453891
(주)경동나비엔,009450,2010/12,160449250
(주)경동나비엔,009450,2011/12,168114574
(주)경동나비엔,009450,2012/12,175875394
(주)경동나비엔,009450,2013/12,187280988
(주)경동나비엔,009450,2014/12,190021880
(주)경동나비엔,009450,2015/12,206076609
(주)경동나비엔,009450,2016/12,238762190
(주)경동나비엔,009450,2017/12,256506497
(주)경동나비엔,009450,2018/12,280103616
(주)경동도시가스,267290,2017/12,294331882
(주)경동도시가스,267290,2018/12,320490074
(주)경동인베스트,012320,2010/12,376913014
(주)경동인베스트,012320,2011/12,407862543
(주)경동인베스트,012320,2012/12,446509347
(주)경동인베스트,012320,2013/12,498740561
(주)경동인베스트,012320,2014/12,607451423
(주)경동인베스트,012320,2015/12,576479441
(주)경동인베스트,012320,2016/12,587924566
(주)경동인베스트,012320,2017/12,400403090
(주)경동인베스트,012320,2018/12,397867310
(주)경방,000050,2010/12,632800486
(주)경방,000050,2011/12,629704391
(주)경방,000050,2012/12,620704205
(주)경방,000050,2013/12,636438555
(주)경방,000050,2014/12,647668814
(주)경방,000050,2015/12,662952918
(주)경방,000050,2016/12,679843399
(주)경방,000050,2017/12,699134073
(주)경방,000050,2018/12,708769347
(주)경보제약,214390,2015/12,
(주)경보제약,214390,2016/12,
(주)경보제약,214390,2017/12,
(주)경보제약,214390,2018/12,
(주)경인양행,012610,2010/12,176138097
(주)경인양행,012610,2011/12,176292506
(주)경인양행,012610,2012/12,174988685
(주)경인양행,012610,2013/12,189744314
(주)경인양행,012610,2014/12,198238667
(주)경인양행,012610,2015/12,201125304
(주)경인양행,012610,2016/12,208293196
(주)경인양행,012610,2017/12,210934933
(주)경인양행,012610,2018/12,223759383
(주)고려시멘트,198440,2014/12,
(주)고려시멘트,198440,2015/12,
(주)고려시멘트,198440,2016/12,
(주)고려시멘트,198440,2017/12,
(주)고려시멘트,198440,2018/12,
(주)고영테크놀러지,098460,2010/12,55153968
(주)고영테크놀러지,098460,2011/12,69622726
(주)고영테크놀러지,098460,2012/12,83401095
(주)고영테크놀러지,098460,2013/12,98319609
(주)고영테크놀러지,098460,2014/12,115835240
(주)고영테크놀러지,098460,2015/12,131475647
(주)고영테크놀러지,098460,2016/12,157267580
(주)고영테크놀러지,098460,2017/12,161317171
(주)고영테크놀러지,098460,2018/12,225866639
(주)골드앤에스,035290,2010/12,21631006
(주)골드앤에스,035290,2011/12,22436829
(주)골드앤에스,035290,2012/12,25517817
(주)골드앤에스,035290,2013/12,13127355
(주)골드앤에스,035290,2014/12,12082621
(주)골드앤에스,035290,2015/12,15160254
(주)골드앤에스,035290,2016/12,14268527
(주)골드앤에스,035290,2017/12,13346076
(주)골드앤에스,035290,2018/12,13779569
(주)골드퍼시픽,038530,2010/12,
(주)골드퍼시픽,038530,2011/12,
(주)골드퍼시픽,038530,2012/12,
(주)골드퍼시픽,038530,2013/12,16190999
(주)골드퍼시픽,038530,2014/12,16567915
(주)골드퍼시픽,038530,2015/12,21193149
(주)골드퍼시픽,038530,2016/12,
(주)골드퍼시픽,038530,2017/12,
(주)골드퍼시픽,038530,2018/12,20086698
(주)골프존,215000,2015/12,108853909
(주)골프존,215000,2016/12,120648626
(주)골프존,215000,2017/12,189381881
(주)골프존,215000,2018/12,194919561
(주)골프존뉴딘홀딩스,121440,2011/12,348968757
(주)골프존뉴딘홀딩스,121440,2012/12,411636973
(주)골프존뉴딘홀딩스,121440,2013/12,424543916
(주)골프존뉴딘홀딩스,121440,2014/12,486385956
(주)골프존뉴딘홀딩스,121440,2015/12,551360423
(주)골프존뉴딘홀딩스,121440,2016/12,528087415
(주)골프존뉴딘홀딩스,121440,2017/12,500912642
(주)골프존뉴딘홀딩스,121440,2018/12,485969871
(주)광림,014200,2010/12,
(주)광림,014200,2011/12,
(주)광림,014200,2012/12,
(주)광림,014200,2013/12,
(주)광림,014200,2014/12,128970849
(주)광림,014200,2015/12,
(주)광림,014200,2016/12,113505965
(주)광림,014200,2017/12,107690687
(주)광림,014200,2018/12,90075229
(주)광명전기,017040,2010/12,60146533
(주)광명전기,017040,2011/12,62936103
(주)광명전기,017040,2012/12,62992204
(주)광명전기,017040,2013/12,69847678
(주)광명전기,017040,2014/12,78696030
(주)광명전기,017040,2015/12,87829336
(주)광명전기,017040,2016/12,98063360
(주)광명전기,017040,2017/12,96648221
(주)광명전기,017040,2018/12,98748349
(주)광무,029480,2010/12,48998701
(주)광무,029480,2011/12,37831616
(주)광무,029480,2012/12,29507217
(주)광무,029480,2013/12,8786699
(주)광무,029480,2014/12,
(주)광무,029480,2015/12,
(주)광무,029480,2016/12,
(주)광무,029480,2017/12,
(주)광무,029480,2018/12,10729216
(주)광주신세계,037710,2010/12,
(주)광주신세계,037710,2011/12,
(주)광주신세계,037710,2012/12,
(주)광주신세계,037710,2013/12,
(주)광주신세계,037710,2014/12,
(주)광주신세계,037710,2015/12,
(주)광주신세계,037710,2016/12,
(주)광주신세계,037710,2017/12,
(주)광주신세계,037710,2018/12,
(주)구영테크,053270,2010/12,36479261
(주)구영테크,053270,2011/12,36633264
(주)구영테크,053270,2012/12,36686891
(주)구영테크,053270,2013/12,39023837
(주)구영테크,053270,2014/12,52212920
(주)구영테크,053270,2015/12,56401223
(주)구영테크,053270,2016/12,57780291
(주)구영테크,053270,2017/12,55811041
(주)구영테크,053270,2018/12,68827896
(주)국동,005320,2010/12,-3728293
(주)국동,005320,2011/12,5829570
(주)국동,005320,2012/12,9422729
(주)국동,005320,2013/12,15412210
(주)국동,005320,2014/12,28639367
(주)국동,005320,2015/12,31226110
(주)국동,005320,2016/12,51725723
(주)국동,005320,2017/12,42630725
(주)국동,005320,2018/12,48475045
(주)국보,001140,2010/12,34910444
(주)국보,001140,2011/12,34466553
(주)국보,001140,2012/12,33793391
(주)국보,001140,2013/12,29768264
(주)국보,001140,2014/12,22620239
(주)국보,001140,2015/12,18409444
(주)국보,001140,2016/12,15275562
(주)국보,001140,2017/12,17848563
(주)국보,001140,2018/12,13412206
(주)국보디자인,066620,2010/12,43011116
(주)국보디자인,066620,2011/12,48143562
(주)국보디자인,066620,2012/12,57564527
(주)국보디자인,066620,2013/12,65598063
(주)국보디자인,066620,2014/12,74350888
(주)국보디자인,066620,2015/12,83307386
(주)국보디자인,066620,2016/12,86928845
(주)국보디자인,066620,2017/12,99283826
(주)국보디자인,066620,2018/12,108600438
(주)국순당,043650,2010/12,177068826
(주)국순당,043650,2011/12,178114387
(주)국순당,043650,2012/12,191625826
(주)국순당,043650,2013/12,194567775
(주)국순당,043650,2014/12,196810690
(주)국순당,043650,2015/12,198167277
(주)국순당,043650,2016/12,194018641
(주)국순당,043650,2017/12,221539252
(주)국순당,043650,2018/12,215679919
(주)국영지앤엠,006050,2010/12,
(주)국영지앤엠,006050,2011/12,
(주)국영지앤엠,006050,2012/12,
(주)국영지앤엠,006050,2013/12,
(주)국영지앤엠,006050,2014/12,
(주)국영지앤엠,006050,2015/12,
(주)국영지앤엠,006050,2016/12,
(주)국영지앤엠,006050,2017/12,
(주)국영지앤엠,006050,2018/12,
(주)국전약품,307750,2018/12,
(주)그래디언트,035080,2010/12,364058861
(주)그래디언트,035080,2011/12,328872047
(주)그래디언트,035080,2012/12,396658401
(주)그래디언트,035080,2013/12,751939530
(주)그래디언트,035080,2014/12,900343355
(주)그래디언트,035080,2015/12,903808796
(주)그래디언트,035080,2016/12,840330799
(주)그래디언트,035080,2017/12,742316982
(주)그래디언트,035080,2018/12,714481098
(주)그리티,204020,2018/12,74460588
(주)글로벌스탠다드테크놀로지,083450,2010/12,23808634
(주)글로벌스탠다드테크놀로지,083450,2011/12,27594673
(주)글로벌스탠다드테크놀로지,083450,2012/12,36008304
(주)글로벌스탠다드테크놀로지,083450,2013/12,42629997
(주)글로벌스탠다드테크놀로지,083450,2014/12,50846053
(주)글로벌스탠다드테크놀로지,083450,2015/12,56675666
(주)글로벌스탠다드테크놀로지,083450,2016/12,60779819
(주)글로벌스탠다드테크놀로지,083450,2017/12,78275559
(주)글로벌스탠다드테크놀로지,083450,2018/12,85807825
(주)금비,008870,2010/09,
(주)금비,008870,2011/09,127461261
(주)금비,008870,2012/09,127569592
(주)금비,008870,2013/09,127930275
(주)금비,008870,2014/09,130427078
(주)금비,008870,2015/09,138920965
(주)금비,008870,2016/09,146679335
(주)금비,008870,2017/09,150022915
(주)금비,008870,2018/09,156252159
(주)금양,001570,2010/12,41251206
(주)금양,001570,2011/12,45175687
(주)금양,001570,2012/12,45542580
(주)금양,001570,2013/12,45554255
(주)금양,001570,2014/12,44489985
(주)금양,001570,2015/12,57953744
(주)금양,001570,2016/12,34480745
(주)금양,001570,2017/12,57595446
(주)금양,001570,2018/12,79456336
(주)금호에이치티,214330,2015/12,81388280
(주)금호에이치티,214330,2016/12,86282030
(주)금호에이치티,214330,2017/12,90754420
(주)금호에이치티,214330,2018/12,124851870
(주)금화피에스시,036190,2010/12,
(주)금화피에스시,036190,2011/12,
(주)금화피에스시,036190,2012/12,
(주)금화피에스시,036190,2013/12,117616926
(주)금화피에스시,036190,2014/12,133525938
(주)금화피에스시,036190,2015/12,149051009
(주)금화피에스시,036190,2016/12,168709929
(주)금화피에스시,036190,2017/12,184227358
(주)금화피에스시,036190,2018/12,220727038
(주)기가레인,049080,2013/12,62386212
(주)기가레인,049080,2014/12,75572002
(주)기가레인,049080,2015/12,65744609
(주)기가레인,049080,2016/12,57597489
(주)기가레인,049080,2017/12,88669121
(주)기가레인,049080,2018/12,68560115
(주)기산텔레콤,035460,2010/12,45551589
(주)기산텔레콤,035460,2011/12,33888631
(주)기산텔레콤,035460,2012/12,31516647
(주)기산텔레콤,035460,2013/12,36517480
(주)기산텔레콤,035460,2014/12,38506780
(주)기산텔레콤,035460,2015/12,42259485
(주)기산텔레콤,035460,2016/12,39870843
(주)기산텔레콤,035460,2017/12,34992274
(주)기산텔레콤,035460,2018/12,31640999
(주)까뮤이앤씨,013700,2010/12,
(주)까뮤이앤씨,013700,2011/12,
(주)까뮤이앤씨,013700,2012/12,
(주)까뮤이앤씨,013700,2013/12,
(주)까뮤이앤씨,013700,2014/12,
(주)까뮤이앤씨,013700,2015/12,
(주)까뮤이앤씨,013700,2016/12,
(주)까뮤이앤씨,013700,2017/12,
(주)까뮤이앤씨,013700,2018/12,
(주)나노,187790,2014/12,
(주)나노,187790,2015/12,42659926
(주)나노,187790,2016/12,34319308
(주)나노,187790,2017/12,44902238
(주)나노,187790,2018/12,59465317
(주)나노신소재,121600,2011/12,58193875
(주)나노신소재,121600,2012/12,56592559
(주)나노신소재,121600,2013/12,57860945
(주)나노신소재,121600,2014/12,61578369
(주)나노신소재,121600,2015/12,73885201
(주)나노신소재,121600,2016/12,77589079
(주)나노신소재,121600,2017/12,82913399
(주)나노신소재,121600,2018/12,88855048
(주)나노엔텍,039860,2010/12,28454808
(주)나노엔텍,039860,2011/12,28748071
(주)나노엔텍,039860,2012/12,22976602
(주)나노엔텍,039860,2013/12,23577971
(주)나노엔텍,039860,2014/12,35502372
(주)나노엔텍,039860,2015/12,38408344
(주)나노엔텍,039860,2016/12,25576796
(주)나노엔텍,039860,2017/12,23731000
(주)나노엔텍,039860,2018/12,35150401
(주)나무가,190510,2015/12,60274130
(주)나무가,190510,2016/12,71710818
(주)나무가,190510,2017/12,30589633
(주)나무가,190510,2018/12,35422440
(주)나스미디어,089600,2013/12,
(주)나스미디어,089600,2014/12,
(주)나스미디어,089600,2015/12,
(주)나스미디어,089600,2016/12,104423228
(주)나스미디어,089600,2017/12,127769767
(주)나스미디어,089600,2018/12,141948762
(주)나이벡,138610,2011/12,
(주)나이벡,138610,2012/12,
(주)나이벡,138610,2013/12,
(주)나이벡,138610,2014/12,
(주)나이벡,138610,2015/12,
(주)나이벡,138610,2016/12,
(주)나이벡,138610,2017/12,
(주)나이벡,138610,2018/12,
(주)나이스디앤비,130580,2011/12,
(주)나이스디앤비,130580,2012/12,
(주)나이스디앤비,130580,2013/12,
(주)나이스디앤비,130580,2014/12,
(주)나이스디앤비,130580,2015/12,29892463
(주)나이스디앤비,130580,2016/12,33730728
(주)나이스디앤비,130580,2017/12,38536096
(주)나이스디앤비,130580,2018/12,45199660
(주)나이스홀딩스,034310,2010/12,302476793
(주)나이스홀딩스,034310,2011/12,322296904
(주)나이스홀딩스,034310,2012/12,394674902
(주)나이스홀딩스,034310,2013/12,570818310
(주)나이스홀딩스,034310,2014/12,667095981
(주)나이스홀딩스,034310,2015/12,695351005
(주)나이스홀딩스,034310,2016/12,773235269
(주)나이스홀딩스,034310,2017/12,877935795
(주)나이스홀딩스,034310,2018/12,1040008134
(주)나인테크,267320,2017/12,
(주)나인테크,267320,2018/12,
(주)남선알미늄,008350,2010/12,43124423
(주)남선알미늄,008350,2011/12,74233806
(주)남선알미늄,008350,2012/12,
(주)남선알미늄,008350,2013/12,
(주)남선알미늄,008350,2014/12,
(주)남선알미늄,008350,2015/12,
(주)남선알미늄,008350,2016/12,
(주)남선알미늄,008350,2017/12,
(주)남선알미늄,008350,2018/12,168719762
(주)남성,004270,2010/12,92236014
(주)남성,004270,2011/12,86423919
(주)남성,004270,2012/12,79934314
(주)남성,004270,2013/12,78184930
(주)남성,004270,2014/12,72641729
(주)남성,004270,2015/12,70994437
(주)남성,004270,2016/12,73385506
(주)남성,004270,2017/12,87392856
(주)남성,004270,2018/12,82768164
(주)내츄럴엔도텍,168330,2013/12,
(주)내츄럴엔도텍,168330,2014/12,
(주)내츄럴엔도텍,168330,2015/12,50463160
(주)내츄럴엔도텍,168330,2016/12,47296929
(주)내츄럴엔도텍,168330,2017/12,54719456
(주)내츄럴엔도텍,168330,2018/12,36487302
(주)네오리진,094860,2010/12,22696173
(주)네오리진,094860,2011/12,30439412
(주)네오리진,094860,2012/12,
(주)네오리진,094860,2013/12,
(주)네오리진,094860,2014/12,
(주)네오리진,094860,2015/12,
(주)네오리진,094860,2016/12,
(주)네오리진,094860,2017/12,14546111
(주)네오리진,094860,2018/12,
(주)네오셈,253590,2018/12,
(주)네오오토,212560,2015/12,
(주)네오오토,212560,2016/12,
(주)네오오토,212560,2017/12,
(주)네오오토,212560,2018/12,
(주)네오위즈,095660,2010/12,236877988
(주)네오위즈,095660,2011/12,272933090
(주)네오위즈,095660,2012/12,288492496
(주)네오위즈,095660,2013/12,295827208
(주)네오위즈,095660,2014/12,284837352
(주)네오위즈,095660,2015/12,264287860
(주)네오위즈,095660,2016/12,271054566
(주)네오위즈,095660,2017/12,264748209
(주)네오위즈,095660,2018/12,298839710
(주)네오위즈홀딩스,042420,2010/12,406775976
(주)네오위즈홀딩스,042420,2011/12,374990578
(주)네오위즈홀딩스,042420,2012/12,385155307
(주)네오위즈홀딩스,042420,2013/12,416240481
(주)네오위즈홀딩스,042420,2014/12,467487690
(주)네오위즈홀딩스,042420,2015/12,492854028
(주)네오위즈홀딩스,042420,2016/12,479007316
(주)네오위즈홀딩스,042420,2017/12,476382219
(주)네오위즈홀딩스,042420,2018/12,516278245
(주)네오티스,085910,2010/12,62119418
(주)네오티스,085910,2011/12,
(주)네오티스,085910,2012/12,
(주)네오티스,085910,2013/12,60663141
(주)네오티스,085910,2014/12,63977930
(주)네오티스,085910,2015/12,59903389
(주)네오티스,085910,2016/12,56347189
(주)네오티스,085910,2017/12,46080092
(주)네오티스,085910,2018/12,44553303
(주)네오팜,092730,2010/12,
(주)네오팜,092730,2011/12,
(주)네오팜,092730,2012/12,
(주)네오팜,092730,2013/12,
(주)네오팜,092730,2014/12,
(주)네오팜,092730,2015/12,
(주)네오팜,092730,2016/12,38570892
(주)네오팜,092730,2017/12,47581915
(주)네오팜,092730,2018/12,59287229
(주)네오펙트,290660,2018/12,28251461
(주)네온테크,306620,2018/12,
(주)네이블커뮤니케이션즈,153460,2012/12,
(주)네이블커뮤니케이션즈,153460,2013/12,
(주)네이블커뮤니케이션즈,153460,2014/12,24713919
(주)네이블커뮤니케이션즈,153460,2015/12,
(주)네이블커뮤니케이션즈,153460,2016/12,
(주)네이블커뮤니케이션즈,153460,2017/12,
(주)네이블커뮤니케이션즈,153460,2018/12,
(주)네이처셀,007390,2010/12,
(주)네이처셀,007390,2011/12,
(주)네이처셀,007390,2012/12,
(주)네이처셀,007390,2013/12,
(주)네이처셀,007390,2014/12,
(주)네이처셀,007390,2015/12,
(주)네이처셀,007390,2016/12,
(주)네이처셀,007390,2017/12,
(주)네이처셀,007390,2018/12,
(주)네패스,033640,2010/12,147091238
(주)네패스,033640,2011/12,143407156
(주)네패스,033640,2012/12,156834268
(주)네패스,033640,2013/12,116590427
(주)네패스,033640,2014/12,149438567
(주)네패스,033640,2015/12,138092844
(주)네패스,033640,2016/12,115821188
(주)네패스,033640,2017/12,120874727
(주)네패스,033640,2018/12,141206415
(주)넥센,005720,2010/12,280186538
(주)넥센,005720,2011/12,319500567
(주)넥센,005720,2012/12,526415955
(주)넥센,005720,2013/12,593356903
(주)넥센,005720,2014/12,657565090
(주)넥센,005720,2015/12,724883753
(주)넥센,005720,2016/12,820785414
(주)넥센,005720,2017/12,917075024
(주)넥센,005720,2018/12,1882757213
(주)넥스턴바이오사이언스,089140,2010/12,
(주)넥스턴바이오사이언스,089140,2011/12,
(주)넥스턴바이오사이언스,089140,2012/12,
(주)넥스턴바이오사이언스,089140,2013/12,
(주)넥스턴바이오사이언스,089140,2014/12,
(주)넥스턴바이오사이언스,089140,2015/12,
(주)넥스턴바이오사이언스,089140,2016/12,
(주)넥스턴바이오사이언스,089140,2017/12,
(주)넥스턴바이오사이언스,089140,2018/12,
(주)넥스트아이,137940,2011/12,
(주)넥스트아이,137940,2012/12,29408175
(주)넥스트아이,137940,2013/12,33681455
(주)넥스트아이,137940,2014/12,36677344
(주)넥스트아이,137940,2015/12,38702078
(주)넥스트아이,137940,2016/12,65432023
(주)넥스트아이,137940,2017/12,75285830
(주)넥스트아이,137940,2018/12,118773260
(주)넥스트엔터테인먼트월드,160550,2014/12,129192140
(주)넥스트엔터테인먼트월드,160550,2015/12,132954441
(주)넥스트엔터테인먼트월드,160550,2016/12,136657265
(주)넥스트엔터테인먼트월드,160550,2017/12,130743457
(주)넥스트엔터테인먼트월드,160550,2018/12,129092858
(주)넥슨게임즈,225570,2015/12,
(주)넥슨게임즈,225570,2016/12,
(주)넥슨게임즈,225570,2017/12,
(주)넥슨게임즈,225570,2018/12,
(주)넵튠,217270,2015/12,
(주)넵튠,217270,2016/12,38941807
(주)넵튠,217270,2017/12,82453970
(주)넵튠,217270,2018/12,68806574
(주)노루페인트,090350,2010/12,218550474
(주)노루페인트,090350,2011/12,224078306
(주)노루페인트,090350,2012/12,222705225
(주)노루페인트,090350,2013/12,230644925
(주)노루페인트,090350,2014/12,241258376
(주)노루페인트,090350,2015/12,271200294
(주)노루페인트,090350,2016/12,276454031
(주)노루페인트,090350,2017/12,299029824
(주)노루페인트,090350,2018/12,307805863
(주)노루홀딩스,000320,2010/12,351725781
(주)노루홀딩스,000320,2011/12,362752611
(주)노루홀딩스,000320,2012/12,371947581
(주)노루홀딩스,000320,2013/12,402451235
(주)노루홀딩스,000320,2014/12,439841569
(주)노루홀딩스,000320,2015/12,521365060
(주)노루홀딩스,000320,2016/12,533516629
(주)노루홀딩스,000320,2017/12,577520965
(주)노루홀딩스,000320,2018/12,561495276
(주)노바렉스,194700,2018/12,79087526
(주)노바텍,285490,2018/12,31137571
(주)노블엠앤비,106520,2012/12,42755691
(주)노블엠앤비,106520,2013/12,60948749
(주)노블엠앤비,106520,2014/12,55024983
(주)노블엠앤비,106520,2015/12,86718397
(주)노블엠앤비,106520,2016/12,67982025
(주)노블엠앤비,106520,2017/12,60546255
(주)노블엠앤비,106520,2018/12,37094386
(주)녹십자,006280,2010/12,549250970
(주)녹십자,006280,2011/12,630281039
(주)녹십자,006280,2012/12,685233313
(주)녹십자,006280,2013/12,839408569
(주)녹십자,006280,2014/12,920626827
(주)녹십자,006280,2015/12,997704012
(주)녹십자,006280,2016/12,1059011034
(주)녹십자,006280,2017/12,1108712901
(주)녹십자,006280,2018/12,1126206777
(주)녹십자엠에스,142280,2014/12,
(주)녹십자엠에스,142280,2015/12,32959423
(주)녹십자엠에스,142280,2016/12,30306661
(주)녹십자엠에스,142280,2017/12,27417385
(주)녹십자엠에스,142280,2018/12,16763475
(주)녹십자홀딩스,005250,2010/12,841773328
(주)녹십자홀딩스,005250,2011/12,895760382
(주)녹십자홀딩스,005250,2012/12,972827321
(주)녹십자홀딩스,005250,2013/12,1099667146
(주)녹십자홀딩스,005250,2014/12,1181067099
(주)녹십자홀딩스,005250,2015/12,1307378785
(주)녹십자홀딩스,005250,2016/12,1377011145
(주)녹십자홀딩스,005250,2017/12,1439667556
(주)녹십자홀딩스,005250,2018/12,1453116547
(주)녹원씨엔아이,065560,2010/12,7888461
(주)녹원씨엔아이,065560,2011/12,9494340
(주)녹원씨엔아이,065560,2012/12,8474463
(주)녹원씨엔아이,065560,2013/12,5869139
(주)녹원씨엔아이,065560,2014/12,12656555
(주)녹원씨엔아이,065560,2015/12,18254623
(주)녹원씨엔아이,065560,2016/12,9748017
(주)녹원씨엔아이,065560,2017/12,48661258
(주)녹원씨엔아이,065560,2018/12,76724652
(주)농심,004370,2010/12,1454783123
(주)농심,004370,2011/12,1519246098
(주)농심,004370,2012/12,1459339293
(주)농심,004370,2013/12,1516673156
