회사명,거래소코드,회계년도,[제조]* (정상)영업손익(보고서기재)(IFRS),[제조]* (정상)영업손익(보고서기재)(IFRS연결)
(주)강원에너지,114190,2011/11,6590008,
(주)강원에너지,114190,2012/12,11611165,
(주)강원에너지,114190,2013/12,3234230,
(주)강원에너지,114190,2014/12,1626297,
(주)강원에너지,114190,2015/12,878120,447206
(주)강원에너지,114190,2016/12,-901973,-1311190
(주)강원에너지,114190,2017/12,-5421114,-5588512
(주)강원에너지,114190,2018/12,532248,341329
(주)강원에너지,114190,2019/12,-17150531,-17175963
(주)갤럭시아에스엠,011420,2011/12,5151679,5164839
(주)갤럭시아에스엠,011420,2012/12,1598883,2074371
(주)갤럭시아에스엠,011420,2013/12,652285,747160
(주)갤럭시아에스엠,011420,2014/12,-512149,-423280
(주)갤럭시아에스엠,011420,2015/12,2581511,2101041
(주)갤럭시아에스엠,011420,2016/12,-3225040,-3713866
(주)갤럭시아에스엠,011420,2017/12,-3330404,-3545768
(주)갤럭시아에스엠,011420,2018/12,-6687587,-10337846
(주)갤럭시아에스엠,011420,2019/12,-776659,-456437
(주)경농,002100,2011/12,8213288,7676752
(주)경농,002100,2012/12,13993847,12731056
(주)경농,002100,2013/12,16404459,18783505
(주)경농,002100,2014/12,14039409,14653846
(주)경농,002100,2015/12,9122621,12111543
(주)경농,002100,2016/12,7226128,9168484
(주)경농,002100,2017/12,9079453,8447803
(주)경농,002100,2018/12,15180272,14769793
(주)경농,002100,2019/12,11750268,8690743
(주)경동나비엔,009450,2011/12,12583280,12421333
(주)경동나비엔,009450,2012/12,11593426,13925116
(주)경동나비엔,009450,2013/12,14798703,19784395
(주)경동나비엔,009450,2014/12,16079662,13464776
(주)경동나비엔,009450,2015/12,20800513,24222981
(주)경동나비엔,009450,2016/12,36574176,45831937
(주)경동나비엔,009450,2017/12,32019764,47757034
(주)경동나비엔,009450,2018/12,29337538,40802217
(주)경동나비엔,009450,2019/12,39202886,44824995
(주)경동도시가스,267290,2017/12,21529500,21664503
(주)경동도시가스,267290,2018/12,43022492,42657143
(주)경동도시가스,267290,2019/12,27681162,28055130
(주)경동인베스트,012320,2011/12,55958306,35856991
(주)경동인베스트,012320,2012/12,51501974,49896945
(주)경동인베스트,012320,2013/12,46688406,50540286
(주)경동인베스트,012320,2014/12,37837347,47933045
(주)경동인베스트,012320,2015/12,18397933,-13298185
(주)경동인베스트,012320,2016/12,23543293,28667528
(주)경동인베스트,012320,2017/12,-2256859,36380462
(주)경동인베스트,012320,2018/12,-161816,39212613
(주)경동인베스트,012320,2019/12,-95605,21959506
(주)경방,000050,2011/12,21404671,22188217
(주)경방,000050,2012/12,8240616,7253943
(주)경방,000050,2013/12,35902115,36031739
(주)경방,000050,2014/12,32095524,30618157
(주)경방,000050,2015/12,38629926,38961511
(주)경방,000050,2016/12,42576774,43436569
(주)경방,000050,2017/12,39411167,42309232
(주)경방,000050,2018/12,38971836,40979751
(주)경방,000050,2019/12,38966424,32020530
(주)경보제약,214390,2015/12,25632335,
(주)경보제약,214390,2016/12,15594227,
(주)경보제약,214390,2017/12,24586649,
(주)경보제약,214390,2018/12,17266575,
(주)경보제약,214390,2019/12,6194073,
(주)경인양행,012610,2011/12,1876257,6353143
(주)경인양행,012610,2012/12,3006834,3641265
(주)경인양행,012610,2013/12,12078064,11145943
(주)경인양행,012610,2014/12,10970585,14093166
(주)경인양행,012610,2015/12,74687,6718134
(주)경인양행,012610,2016/12,2198152,10577181
(주)경인양행,012610,2017/12,159204,7364797
(주)경인양행,012610,2018/12,11975046,19691167
(주)경인양행,012610,2019/12,14176378,23555055
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,3017621,
(주)고려시멘트,198440,2018/12,3837563,
(주)고려시멘트,198440,2019/12,-459627,
(주)고영테크놀러지,098460,2011/12,19597519,18820907
(주)고영테크놀러지,098460,2012/12,20358471,21443286
(주)고영테크놀러지,098460,2013/12,17778872,16773438
(주)고영테크놀러지,098460,2014/12,27729256,28155311
(주)고영테크놀러지,098460,2015/12,26172507,23449593
(주)고영테크놀러지,098460,2016/12,31039820,33184488
(주)고영테크놀러지,098460,2017/12,45513084,43748905
(주)고영테크놀러지,098460,2018/12,46196834,45983316
(주)고영테크놀러지,098460,2019/12,40057965,33331312
(주)골드앤에스,035290,2011/12,1392408,1295340
(주)골드앤에스,035290,2012/12,-2363142,-2330876
(주)골드앤에스,035290,2013/12,-4982102,-6493110
(주)골드앤에스,035290,2014/12,-2318778,-3079598
(주)골드앤에스,035290,2015/12,1062021,1143768
(주)골드앤에스,035290,2016/12,389642,402070
(주)골드앤에스,035290,2017/12,-3690116,-3694041
(주)골드앤에스,035290,2018/12,-4559128,-4667030
(주)골드앤에스,035290,2019/12,-7142117,-7142117
(주)골드퍼시픽,038530,2011/12,1726132,
(주)골드퍼시픽,038530,2012/12,726901,
(주)골드퍼시픽,038530,2013/12,-5584540,-6137582
(주)골드퍼시픽,038530,2014/12,-5975389,-5819314
(주)골드퍼시픽,038530,2015/12,-8197750,-8243124
(주)골드퍼시픽,038530,2016/12,-8525119,
(주)골드퍼시픽,038530,2017/12,937598,
(주)골드퍼시픽,038530,2018/12,-506241,-904003
(주)골드퍼시픽,038530,2019/12,-3421041,
(주)골프존,215000,2015/12,47628136,49582444
(주)골프존,215000,2016/12,43961456,45442469
(주)골프존,215000,2017/12,33528808,37457577
(주)골프존,215000,2018/12,29085694,28160266
(주)골프존,215000,2019/12,36199059,32297494
(주)골프존뉴딘홀딩스,121440,2011/12,54711939,54442032
(주)골프존뉴딘홀딩스,121440,2012/12,73882041,69002648
(주)골프존뉴딘홀딩스,121440,2013/12,84447683,80489158
(주)골프존뉴딘홀딩스,121440,2014/12,101367116,102393717
(주)골프존뉴딘홀딩스,121440,2015/12,-13803824,-9349582
(주)골프존뉴딘홀딩스,121440,2016/12,-5563087,37005985
(주)골프존뉴딘홀딩스,121440,2017/12,-6824300,18422625
(주)골프존뉴딘홀딩스,121440,2018/12,-11005550,1114231
(주)골프존뉴딘홀딩스,121440,2019/12,-17956208,-3625436
(주)광림,014200,2011/12,5263609,
(주)광림,014200,2012/12,1321582,
(주)광림,014200,2013/12,3310917,
(주)광림,014200,2014/12,1910652,2185491
(주)광림,014200,2015/12,1326666,
(주)광림,014200,2016/12,171774,171774
(주)광림,014200,2017/12,2304157,-12369550
(주)광림,014200,2018/12,2202922,-1044494
(주)광림,014200,2019/12,3819332,-10983157
(주)광명전기,017040,2011/12,1483791,496117
(주)광명전기,017040,2012/12,3566142,4187750
(주)광명전기,017040,2013/12,8443372,10781483
(주)광명전기,017040,2014/12,10270079,12461662
(주)광명전기,017040,2015/12,3839499,9342095
(주)광명전기,017040,2016/12,3818917,3616733
(주)광명전기,017040,2017/12,3754872,2197753
(주)광명전기,017040,2018/12,2970976,3257516
(주)광명전기,017040,2019/12,7313078,7985837
(주)광무,029480,2011/12,-11400527,-13535610
(주)광무,029480,2012/12,-5614534,-5776949
(주)광무,029480,2013/12,-6899306,-13904969
(주)광무,029480,2014/12,1422352,
(주)광무,029480,2015/12,-620363,
(주)광무,029480,2016/12,1294011,
(주)광무,029480,2017/12,199525,
(주)광무,029480,2018/12,-671966,-1335245
(주)광무,029480,2019/12,-2260048,-3012624
(주)광주신세계,037710,2011/12,58896505,
(주)광주신세계,037710,2012/12,58185712,
(주)광주신세계,037710,2013/12,55981723,
(주)광주신세계,037710,2014/12,51835640,
(주)광주신세계,037710,2015/12,54772399,
(주)광주신세계,037710,2016/12,56047368,
(주)광주신세계,037710,2017/12,56289748,
(주)광주신세계,037710,2018/12,50068808,
(주)광주신세계,037710,2019/12,55102645,
(주)구영테크,053270,2011/12,5189843,5159050
(주)구영테크,053270,2012/12,4839337,7488049
(주)구영테크,053270,2013/12,4463036,7492265
(주)구영테크,053270,2014/12,2782247,5438229
(주)구영테크,053270,2015/12,3529661,6145428
(주)구영테크,053270,2016/12,4114290,4337719
(주)구영테크,053270,2017/12,3025353,5691336
(주)구영테크,053270,2018/12,1638585,5378869
(주)구영테크,053270,2019/12,2513647,5239175
(주)국동,005320,2011/12,-5805369,1137580
(주)국동,005320,2012/12,1814279,6792926
(주)국동,005320,2013/12,3421258,5522012
(주)국동,005320,2014/12,5708078,10149086
(주)국동,005320,2015/12,6875576,8655834
(주)국동,005320,2016/12,7880757,10563534
(주)국동,005320,2017/12,-2404926,-5856432
(주)국동,005320,2018/12,1682592,5762204
(주)국동,005320,2019/12,-9536815,-4249136
(주)국보,001140,2011/12,1856012,1737608
(주)국보,001140,2012/12,1079411,1365801
(주)국보,001140,2013/12,653034,731017
(주)국보,001140,2014/12,-1997880,-2409123
(주)국보,001140,2015/12,-2191281,-2462368
(주)국보,001140,2016/12,-507392,204105
(주)국보,001140,2017/12,-3408921,-3934059
(주)국보,001140,2018/12,-4639062,-5293766
(주)국보,001140,2019/12,-1521920,-968491
(주)국보디자인,066620,2011/12,8488848,8573206
(주)국보디자인,066620,2012/12,10775504,10501258
(주)국보디자인,066620,2013/12,10440161,11767773
(주)국보디자인,066620,2014/12,9850658,13346472
(주)국보디자인,066620,2015/12,6839950,12789435
(주)국보디자인,066620,2016/12,13350340,10516456
(주)국보디자인,066620,2017/12,23990595,23215727
(주)국보디자인,066620,2018/12,16747379,16463397
(주)국보디자인,066620,2019/12,10506065,11557298
(주)국순당,043650,2011/12,5668811,5344491
(주)국순당,043650,2012/12,6794416,5650758
(주)국순당,043650,2013/12,1187809,1441447
(주)국순당,043650,2014/12,881757,1082245
(주)국순당,043650,2015/12,-8305751,-8197632
(주)국순당,043650,2016/12,-5456865,-6487771
(주)국순당,043650,2017/12,-3584872,-4263332
(주)국순당,043650,2018/12,-2751939,-2994444
(주)국순당,043650,2019/12,-5440912,-5966921
(주)국영지앤엠,006050,2011/12,-2947683,
(주)국영지앤엠,006050,2012/12,-1490604,
(주)국영지앤엠,006050,2013/12,1332568,
(주)국영지앤엠,006050,2014/12,1587301,
(주)국영지앤엠,006050,2015/12,-1039280,
(주)국영지앤엠,006050,2016/12,248835,
(주)국영지앤엠,006050,2017/12,1410362,
(주)국영지앤엠,006050,2018/12,-920018,
(주)국영지앤엠,006050,2019/12,991045,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)그래디언트,035080,2011/12,-7828136,-17906695
(주)그래디언트,035080,2012/12,-707626,14020875
(주)그래디언트,035080,2013/12,309117,47742962
(주)그래디언트,035080,2014/12,161037,51009616
(주)그래디언트,035080,2015/12,5841995,65149099
(주)그래디언트,035080,2016/12,10733856,49505493
(주)그래디언트,035080,2017/12,6033339,29816493
(주)그래디언트,035080,2018/12,5963182,19963614
(주)그래디언트,035080,2019/12,3788374,45164129
(주)그리티,204020,2018/12,9289658,8045203
(주)그리티,204020,2019/12,4418702,2913982
(주)그린플러스,186230,2019/12,3430717,5077238
(주)글로벌스탠다드테크놀로지,083450,2011/12,2897104,4242807
(주)글로벌스탠다드테크놀로지,083450,2012/12,6164717,8120683
(주)글로벌스탠다드테크놀로지,083450,2013/12,6148795,7530078
(주)글로벌스탠다드테크놀로지,083450,2014/12,6371366,8599178
(주)글로벌스탠다드테크놀로지,083450,2015/12,3684905,6011588
(주)글로벌스탠다드테크놀로지,083450,2016/12,2388293,4877910
(주)글로벌스탠다드테크놀로지,083450,2017/12,19126708,22260787
(주)글로벌스탠다드테크놀로지,083450,2018/12,7914174,10405764
(주)글로벌스탠다드테크놀로지,083450,2019/12,22053993,21908352
(주)금비,008870,2011/09,2521986,8132783
(주)금비,008870,2012/09,579562,6098145
(주)금비,008870,2013/09,654359,6079123
(주)금비,008870,2014/09,-1616408,5532591
(주)금비,008870,2015/09,7842088,15280448
(주)금비,008870,2016/09,7204631,19991978
(주)금비,008870,2017/09,903946,11676424
(주)금비,008870,2018/09,2911534,12705519
(주)금비,008870,2019/09,1416310,12430195
(주)금양,001570,2011/12,6136009,6952664
(주)금양,001570,2012/12,6409859,6614054
(주)금양,001570,2013/12,5188276,5644293
(주)금양,001570,2014/12,7001768,5163631
(주)금양,001570,2015/12,8205515,6855670
(주)금양,001570,2016/12,8874219,12127454
(주)금양,001570,2017/12,5934740,13140970
(주)금양,001570,2018/12,6516687,13526326
(주)금양,001570,2019/12,5271746,9211215
(주)금호에이치티,214330,2015/12,20514465,20339189
(주)금호에이치티,214330,2016/12,16480586,14295443
(주)금호에이치티,214330,2017/12,11007981,8924225
(주)금호에이치티,214330,2018/12,7513991,10493446
(주)금호에이치티,214330,2019/12,4530371,4059148
(주)금화피에스시,036190,2011/12,16448550,
(주)금화피에스시,036190,2012/12,20453131,
(주)금화피에스시,036190,2013/12,25744446,27103680
(주)금화피에스시,036190,2014/12,23011531,23448696
(주)금화피에스시,036190,2015/12,26233196,27682715
(주)금화피에스시,036190,2016/12,28240507,29816098
(주)금화피에스시,036190,2017/12,33131391,33863833
(주)금화피에스시,036190,2018/12,39495034,41384787
(주)금화피에스시,036190,2019/12,30433094,34327291
(주)기가레인,049080,2013/12,12814521,12948738
(주)기가레인,049080,2014/12,10512950,9101817
(주)기가레인,049080,2015/12,-18745702,-18852731
(주)기가레인,049080,2016/12,-9647595,-9108288
(주)기가레인,049080,2017/12,4705145,5232144
(주)기가레인,049080,2018/12,-1892191,-2497484
(주)기가레인,049080,2019/12,-26726549,-29598747
(주)기산텔레콤,035460,2011/12,-7302126,-10359858
(주)기산텔레콤,035460,2012/12,3866590,1714513
(주)기산텔레콤,035460,2013/12,2083934,5120351
(주)기산텔레콤,035460,2014/12,234218,1747320
(주)기산텔레콤,035460,2015/12,150840,1595421
(주)기산텔레콤,035460,2016/12,-1972410,-2914471
(주)기산텔레콤,035460,2017/12,-848554,-3230591
(주)기산텔레콤,035460,2018/12,-2790221,-2927420
(주)기산텔레콤,035460,2019/12,2565963,3995820
(주)까뮤이앤씨,013700,2011/12,-132765820,
(주)까뮤이앤씨,013700,2012/12,3874241,
(주)까뮤이앤씨,013700,2013/12,-1085474,
(주)까뮤이앤씨,013700,2014/12,2849967,
(주)까뮤이앤씨,013700,2015/12,4029706,
(주)까뮤이앤씨,013700,2016/12,4443394,
(주)까뮤이앤씨,013700,2017/12,10091338,
(주)까뮤이앤씨,013700,2018/12,4050404,
(주)까뮤이앤씨,013700,2019/12,14845481,
(주)까스텔바작,308100,2019/12,9287318,9018785
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,-7239111,-8471990
(주)나노,187790,2016/12,-9411058,-14162416
(주)나노,187790,2017/12,1526011,1661616
(주)나노,187790,2018/12,783196,2193238
(주)나노,187790,2019/12,1381812,-869772
(주)나노브릭,286750,2019/12,-1512607,-1512607
(주)나노신소재,121600,2011/12,4510950,4489990
(주)나노신소재,121600,2012/12,-599483,-699837
(주)나노신소재,121600,2013/12,1360266,1396876
(주)나노신소재,121600,2014/12,3639250,3699232
(주)나노신소재,121600,2015/12,9164440,9096516
(주)나노신소재,121600,2016/12,6310057,6294911
(주)나노신소재,121600,2017/12,8506727,8531076
(주)나노신소재,121600,2018/12,8659691,8749523
(주)나노신소재,121600,2019/12,5191475,5143898
(주)나노엔텍,039860,2011/12,-7866305,-11116954
(주)나노엔텍,039860,2012/12,-4560857,-5328956
(주)나노엔텍,039860,2013/12,1088129,-473071
(주)나노엔텍,039860,2014/12,259650,-2591623
(주)나노엔텍,039860,2015/12,-3336702,-7211152
(주)나노엔텍,039860,2016/12,-8642286,-9685305
(주)나노엔텍,039860,2017/12,2944761,1672406
(주)나노엔텍,039860,2018/12,3236124,2825936
(주)나노엔텍,039860,2019/12,3583987,3051217
(주)나무가,190510,2015/12,22632879,25666181
(주)나무가,190510,2016/12,-1785463,-669505
(주)나무가,190510,2017/12,-22688891,-31479937
(주)나무가,190510,2018/12,8215658,1857186
(주)나무가,190510,2019/12,2906028,2666025
(주)나스미디어,089600,2013/12,6058109,
(주)나스미디어,089600,2014/12,8601869,
(주)나스미디어,089600,2015/12,11693294,
(주)나스미디어,089600,2016/12,14615304,15433276
(주)나스미디어,089600,2017/12,25654209,34298134
(주)나스미디어,089600,2018/12,19351123,24946232
(주)나스미디어,089600,2019/12,23389051,30558603
(주)나이벡,138610,2011/12,-1955772,
(주)나이벡,138610,2012/12,-805135,
(주)나이벡,138610,2013/12,-2637399,
(주)나이벡,138610,2014/12,-3024927,
(주)나이벡,138610,2015/12,-1583717,
(주)나이벡,138610,2016/12,-2499774,
(주)나이벡,138610,2017/12,-1128739,
(주)나이벡,138610,2018/12,-3402362,
(주)나이벡,138610,2019/12,-960252,
(주)나이스디앤비,130580,2011/12,2855233,
(주)나이스디앤비,130580,2012/12,3200317,
(주)나이스디앤비,130580,2013/12,3312852,
(주)나이스디앤비,130580,2014/12,4103059,
(주)나이스디앤비,130580,2015/12,4929356,4943229
(주)나이스디앤비,130580,2016/12,4752171,6465327
(주)나이스디앤비,130580,2017/12,6644056,8454239
(주)나이스디앤비,130580,2018/12,8817160,10423254
(주)나이스디앤비,130580,2019/12,10084114,12798062
(주)나이스홀딩스,034310,2011/12,8388023,46386311
(주)나이스홀딩스,034310,2012/12,13242409,44716912
(주)나이스홀딩스,034310,2013/12,6707279,73230416
(주)나이스홀딩스,034310,2014/12,5482042,71783757
(주)나이스홀딩스,034310,2015/12,8149951,91245321
(주)나이스홀딩스,034310,2016/12,15308860,126926939
(주)나이스홀딩스,034310,2017/12,18273165,122598327
(주)나이스홀딩스,034310,2018/12,22616230,128330972
(주)나이스홀딩스,034310,2019/12,27467348,154235020
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)남선알미늄,008350,2011/12,4913867,4920524
(주)남선알미늄,008350,2012/12,-3928790,
(주)남선알미늄,008350,2013/12,13600289,
(주)남선알미늄,008350,2014/12,13927458,
(주)남선알미늄,008350,2015/12,17100780,
(주)남선알미늄,008350,2016/12,24179476,
(주)남선알미늄,008350,2017/12,20750090,
(주)남선알미늄,008350,2018/12,9581679,9426031
(주)남선알미늄,008350,2019/12,11592894,11578883
(주)남성,004270,2011/12,4351800,-328193
(주)남성,004270,2012/12,3883950,-35940
(주)남성,004270,2013/12,3152255,2046577
(주)남성,004270,2014/12,3517751,1582754
(주)남성,004270,2015/12,3677218,2786303
(주)남성,004270,2016/12,4118637,4559142
(주)남성,004270,2017/12,5822850,7210225
(주)남성,004270,2018/12,2972765,976778
(주)남성,004270,2019/12,2402813,461285
(주)내츄럴엔도텍,168330,2013/12,24103694,
(주)내츄럴엔도텍,168330,2014/12,25886542,
(주)내츄럴엔도텍,168330,2015/12,-10595159,-10890671
(주)내츄럴엔도텍,168330,2016/12,-9347254,-9391306
(주)내츄럴엔도텍,168330,2017/12,-5337960,-5391216
(주)내츄럴엔도텍,168330,2018/12,-9689427,-13587339
(주)내츄럴엔도텍,168330,2019/12,-8440259,-11129699
(주)네오리진,094860,2011/12,1286540,1434105
(주)네오리진,094860,2012/12,1513894,
(주)네오리진,094860,2013/12,-1799033,
(주)네오리진,094860,2014/12,-5817300,
(주)네오리진,094860,2015/12,-2807608,
(주)네오리진,094860,2016/12,810733,
(주)네오리진,094860,2017/12,221865,168664
(주)네오리진,094860,2018/12,-771579,
(주)네오리진,094860,2019/12,258267,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,-3351213,-3334110
(주)네오오토,212560,2015/12,9232820,
(주)네오오토,212560,2016/12,10052254,
(주)네오오토,212560,2017/12,1606020,
(주)네오오토,212560,2018/12,2422365,
(주)네오오토,212560,2019/12,795115,
(주)네오위즈,095660,2011/12,110682166,106795298
(주)네오위즈,095660,2012/12,128101857,110533910
(주)네오위즈,095660,2013/12,99212727,95810930
(주)네오위즈,095660,2014/12,39155728,29526267
(주)네오위즈,095660,2015/12,27179876,15802494
(주)네오위즈,095660,2016/12,21203983,23471441
(주)네오위즈,095660,2017/12,10186878,10872808
(주)네오위즈,095660,2018/12,11081403,22555606
(주)네오위즈,095660,2019/12,16643538,32567478
(주)네오위즈홀딩스,042420,2011/12,30166464,116011172
(주)네오위즈홀딩스,042420,2012/12,9342665,108650699
(주)네오위즈홀딩스,042420,2013/12,143875,101248218
(주)네오위즈홀딩스,042420,2014/12,574571,39319220
(주)네오위즈홀딩스,042420,2015/12,-385387,14452647
(주)네오위즈홀딩스,042420,2016/12,-303937,22359830
(주)네오위즈홀딩스,042420,2017/12,-260154,10628248
(주)네오위즈홀딩스,042420,2018/12,-485440,21139486
(주)네오위즈홀딩스,042420,2019/12,180113,29418403
(주)네오크레마,311390,2019/12,776937,665101
(주)네오티스,085910,2011/12,5732674,
(주)네오티스,085910,2012/12,3904166,
(주)네오티스,085910,2013/12,2988588,3432123
(주)네오티스,085910,2014/12,3130358,3995727
(주)네오티스,085910,2015/12,1584014,2007867
(주)네오티스,085910,2016/12,2035569,2530772
(주)네오티스,085910,2017/12,2393447,3266173
(주)네오티스,085910,2018/12,3513246,4693123
(주)네오티스,085910,2019/12,2645699,3357376
(주)네오팜,092730,2011/12,1199197,
(주)네오팜,092730,2012/12,209147,
(주)네오팜,092730,2013/12,2147648,
(주)네오팜,092730,2014/12,5002662,
(주)네오팜,092730,2015/12,6258403,
(주)네오팜,092730,2016/12,10034988,9552938
(주)네오팜,092730,2017/12,14632436,14037876
(주)네오팜,092730,2018/12,19588203,19161762
(주)네오팜,092730,2019/12,23347953,22960501
