회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결)
(주)CMG제약,058820,2000/12,,
(주)CMG제약,058820,2001/12,1.03,
(주)CMG제약,058820,2002/12,-9.99,
(주)CMG제약,058820,2003/12,-3.37,
(주)CMG제약,058820,2004/12,-22.92,
(주)CMG제약,058820,2005/12,-13.4,
(주)CMG제약,058820,2006/12,-14.08,
(주)CMG제약,058820,2007/12,999999999,
(주)CMG제약,058820,2008/12,-5.05,
(주)CMG제약,058820,2009/12,-8.29,
(주)CMG제약,058820,2010/12,-7.33,-7.42
(주)CMG제약,058820,2011/12,3.85,3.53
(주)CMG제약,058820,2012/12,-7.45,-7.75
(주)CMG제약,058820,2013/12,0.73,0.7
(주)CMG제약,058820,2014/12,3.63,3.6
(주)CMG제약,058820,2015/12,-32.2,-32.22
(주)CMG제약,058820,2016/12,999999999,999999999
(주)CMG제약,058820,2017/12,999999999,999999999
(주)CMG제약,058820,2018/12,999999999,999999999
(주)CMG제약,058820,2019/12,303,303
(주)DB하이텍,000990,2000/12,1.01,
(주)DB하이텍,000990,2001/12,1.37,
(주)DB하이텍,000990,2002/12,1.5,
(주)DB하이텍,000990,2003/12,1.27,
(주)DB하이텍,000990,2004/12,2.94,
(주)DB하이텍,000990,2005/12,1.01,
(주)DB하이텍,000990,2006/12,0.56,
(주)DB하이텍,000990,2007/12,-0.12,-0.27
(주)DB하이텍,000990,2008/12,-0.5,0.18
(주)DB하이텍,000990,2009/12,-0.76,-0.77
(주)DB하이텍,000990,2010/12,-2.8,-3.82
(주)DB하이텍,000990,2011/12,-0.62,-0.75
(주)DB하이텍,000990,2012/12,-0.29,-0.31
(주)DB하이텍,000990,2013/12,-0.16,-0.16
(주)DB하이텍,000990,2014/12,0.67,0.67
(주)DB하이텍,000990,2015/12,2.49,2.5
(주)DB하이텍,000990,2016/12,4.39,4.41
(주)DB하이텍,000990,2017/12,6.01,6.05
(주)DB하이텍,000990,2018/12,6.76,6.77
(주)DB하이텍,000990,2019/12,13.43,13.44
(주)ES큐브,050120,2001/06,,
(주)ES큐브,050120,2002/06,4,
(주)ES큐브,050120,2003/06,2.24,
(주)ES큐브,050120,2004/06,1.66,
(주)ES큐브,050120,2005/12,-4.77,
(주)ES큐브,050120,2006/12,-6,
(주)ES큐브,050120,2007/12,-25.03,
(주)ES큐브,050120,2008/12,-35.62,
(주)ES큐브,050120,2009/12,10.3,
(주)ES큐브,050120,2010/12,9.56,-7.12
(주)ES큐브,050120,2011/12,-142.77,-245.99
(주)ES큐브,050120,2012/12,20.03,1.72
(주)ES큐브,050120,2013/12,9.51,-37.44
(주)ES큐브,050120,2014/12,999999999,22.2
(주)ES큐브,050120,2015/12,999999999,-11.86
(주)ES큐브,050120,2016/12,11.58,8.98
(주)ES큐브,050120,2017/12,2.76,2.86
(주)ES큐브,050120,2018/12,0.47,-0.82
(주)ES큐브,050120,2019/12,0.17,-0.68
(주)HJ중공업,097230,2007/12,,
(주)HJ중공업,097230,2008/12,4.88,3.39
(주)HJ중공업,097230,2009/12,2.57,2.07
(주)HJ중공업,097230,2010/12,1.05,0.54
(주)HJ중공업,097230,2011/12,0.22,0.55
(주)HJ중공업,097230,2012/12,0.17,0.27
(주)HJ중공업,097230,2013/12,-0.72,-0.4
(주)HJ중공업,097230,2014/12,-0.78,-0.88
(주)HJ중공업,097230,2015/12,-0.75,-0.5
(주)HJ중공업,097230,2016/12,0.4,-0.58
(주)HJ중공업,097230,2017/12,0.89,-1.08
(주)HJ중공업,097230,2018/12,-0.66,0.62
(주)HJ중공업,097230,2019/12,0.64,0.69
(주)MH에탄올,023150,2000/12,2.71,
(주)MH에탄올,023150,2001/12,2.6,
(주)MH에탄올,023150,2002/12,5.5,
(주)MH에탄올,023150,2003/12,18.2,
(주)MH에탄올,023150,2004/12,15.14,
(주)MH에탄올,023150,2005/12,11.04,
(주)MH에탄올,023150,2006/12,8.29,
(주)MH에탄올,023150,2007/12,7.52,
(주)MH에탄올,023150,2008/12,3.3,-0.61
(주)MH에탄올,023150,2009/12,2.14,1.18
(주)MH에탄올,023150,2010/12,1.84,0.77
(주)MH에탄올,023150,2011/12,1.5,0.12
(주)MH에탄올,023150,2012/12,1.64,1.08
(주)MH에탄올,023150,2013/12,3.44,0.87
(주)MH에탄올,023150,2014/12,5.62,5.62
(주)MH에탄올,023150,2015/12,12.7,12.69
(주)MH에탄올,023150,2016/12,29.42,29.41
(주)MH에탄올,023150,2017/12,33.29,3.46
(주)MH에탄올,023150,2018/12,8.73,0.1
(주)MH에탄올,023150,2019/12,7.59,0.73
(주)SH에너지화학,002360,2000/06,0.76,
(주)SH에너지화학,002360,2001/06,1.17,
(주)SH에너지화학,002360,2002/06,2.09,
(주)SH에너지화학,002360,2003/06,2.71,
(주)SH에너지화학,002360,2004/06,0.46,
(주)SH에너지화학,002360,2005/06,1.15,
(주)SH에너지화학,002360,2006/12,0.43,
(주)SH에너지화학,002360,2007/12,2.08,2.4
(주)SH에너지화학,002360,2008/12,0.63,-7.03
(주)SH에너지화학,002360,2009/12,4.5,4.2
(주)SH에너지화학,002360,2010/12,2.66,-4.92
(주)SH에너지화학,002360,2011/12,3.09,2.82
(주)SH에너지화학,002360,2012/12,2.26,1.72
(주)SH에너지화학,002360,2013/12,5.95,5.3
(주)SH에너지화학,002360,2014/12,25.43,26.68
(주)SH에너지화학,002360,2015/12,85,84.87
(주)SH에너지화학,002360,2016/12,209.47,210.93
(주)SH에너지화학,002360,2017/12,155.23,162.17
(주)SH에너지화학,002360,2018/12,30.8,22.72
(주)SH에너지화학,002360,2019/12,-18.2,-24.12
(주)SIMPAC,009160,2000/12,1.75,
(주)SIMPAC,009160,2001/12,0.1,
(주)SIMPAC,009160,2002/12,1.54,
(주)SIMPAC,009160,2003/12,3.76,
(주)SIMPAC,009160,2004/12,4.95,
(주)SIMPAC,009160,2005/12,7.32,
(주)SIMPAC,009160,2006/12,6.93,
(주)SIMPAC,009160,2007/12,12.98,
(주)SIMPAC,009160,2008/12,7.56,
(주)SIMPAC,009160,2009/12,10.35,10.3
(주)SIMPAC,009160,2010/12,14.87,13.74
(주)SIMPAC,009160,2011/12,22.12,20.93
(주)SIMPAC,009160,2012/12,15.59,15.51
(주)SIMPAC,009160,2013/12,16.68,16.58
(주)SIMPAC,009160,2014/12,9.26,8.48
(주)SIMPAC,009160,2015/12,23.49,14.66
(주)SIMPAC,009160,2016/12,20.91,16.75
(주)SIMPAC,009160,2017/12,15.27,10.1
(주)SIMPAC,009160,2018/12,3.25,4.07
(주)SIMPAC,009160,2019/12,2.86,3.47
(주)SNT에너지,100840,2008/12,,
(주)SNT에너지,100840,2009/12,22.76,
(주)SNT에너지,100840,2010/12,41.47,
(주)SNT에너지,100840,2011/12,-9.37,
(주)SNT에너지,100840,2012/12,77.44,
(주)SNT에너지,100840,2013/12,50.81,
(주)SNT에너지,100840,2014/12,41.09,
(주)SNT에너지,100840,2015/12,359.1,
(주)SNT에너지,100840,2016/12,999999999,
(주)SNT에너지,100840,2017/12,999999999,
(주)SNT에너지,100840,2018/12,999999999,
(주)SNT에너지,100840,2019/12,2833.92,1771.27
(주)SNT홀딩스,036530,2000/12,999999999,
(주)SNT홀딩스,036530,2001/12,999999999,
(주)SNT홀딩스,036530,2002/12,999999999,
(주)SNT홀딩스,036530,2003/12,27.17,
(주)SNT홀딩스,036530,2004/12,999999999,
(주)SNT홀딩스,036530,2005/12,999999999,
(주)SNT홀딩스,036530,2006/12,999999999,
(주)SNT홀딩스,036530,2007/12,999999999,4.32
(주)SNT홀딩스,036530,2008/12,999999999,4.95
(주)SNT홀딩스,036530,2009/12,999999999,5.31
(주)SNT홀딩스,036530,2010/12,999999999,13.92
(주)SNT홀딩스,036530,2011/12,999999999,16.87
(주)SNT홀딩스,036530,2012/12,999999999,20.28
(주)SNT홀딩스,036530,2013/12,999999999,30.38
(주)SNT홀딩스,036530,2014/12,999999999,34.38
(주)SNT홀딩스,036530,2015/12,999999999,218.55
(주)SNT홀딩스,036530,2016/12,999999999,286.46
(주)SNT홀딩스,036530,2017/12,999999999,178.66
(주)SNT홀딩스,036530,2018/12,999999999,59.79
(주)SNT홀딩스,036530,2019/12,999999999,184.05
(주)STX,011810,2000/12,1.36,
(주)STX,011810,2001/12,0.95,
(주)STX,011810,2002/12,0.87,
(주)STX,011810,2003/12,0.89,
(주)STX,011810,2004/12,1.3,
(주)STX,011810,2005/12,2.41,
(주)STX,011810,2006/12,3.02,
(주)STX,011810,2007/12,6.65,8.69
(주)STX,011810,2008/12,1.57,4.23
(주)STX,011810,2009/12,-1.18,-0.66
(주)STX,011810,2010/12,0.9,0.73
(주)STX,011810,2011/12,0.67,1.66
(주)STX,011810,2012/12,0.19,-3.12
(주)STX,011810,2013/12,-0.8,-10.71
(주)STX,011810,2014/12,0.53,0.76
(주)STX,011810,2015/12,-0.42,-0.84
(주)STX,011810,2016/12,-2.95,-0.91
(주)STX,011810,2017/12,1.56,2.02
(주)STX,011810,2018/12,-0.58,-1.12
(주)STX,011810,2019/12,-1.05,0.11
(주)TCC스틸,002710,2000/12,1.65,
(주)TCC스틸,002710,2001/12,2.25,
(주)TCC스틸,002710,2002/12,1.57,
(주)TCC스틸,002710,2003/12,2.98,
(주)TCC스틸,002710,2004/12,2.68,
(주)TCC스틸,002710,2005/12,2.69,
(주)TCC스틸,002710,2006/12,-0.22,
(주)TCC스틸,002710,2007/12,1.46,1.42
(주)TCC스틸,002710,2008/12,7.2,6.79
(주)TCC스틸,002710,2009/12,3.98,3.3
(주)TCC스틸,002710,2010/12,3.66,3.69
(주)TCC스틸,002710,2011/12,1.83,1.41
(주)TCC스틸,002710,2012/12,1.44,0.57
(주)TCC스틸,002710,2013/12,1.01,-0.59
(주)TCC스틸,002710,2014/12,1.31,0.02
(주)TCC스틸,002710,2015/12,2.11,2.17
(주)TCC스틸,002710,2016/12,2.36,2.53
(주)TCC스틸,002710,2017/12,1.41,1.55
(주)TCC스틸,002710,2018/12,3.46,3.3
(주)TCC스틸,002710,2019/12,2.34,2.27
(주)가비아,079940,2002/12,,
(주)가비아,079940,2003/12,32.22,
(주)가비아,079940,2004/12,83.72,
(주)가비아,079940,2005/12,158.9,
(주)가비아,079940,2006/12,61.81,
(주)가비아,079940,2007/12,9.82,17.14
(주)가비아,079940,2008/12,9.87,13.34
(주)가비아,079940,2009/12,4.97,7.66
(주)가비아,079940,2010/12,9.81,14.98
(주)가비아,079940,2011/12,10.86,22.28
(주)가비아,079940,2012/12,6.25,15.43
(주)가비아,079940,2013/12,7.48,15.81
(주)가비아,079940,2014/12,11.16,24.59
(주)가비아,079940,2015/12,28.34,64.83
(주)가비아,079940,2016/12,33.33,83.64
(주)가비아,079940,2017/12,27.12,53.72
(주)가비아,079940,2018/12,25.87,62.3
(주)가비아,079940,2019/12,19.48,34.25
(주)가온칩스,399720,2018/12,,
(주)가온칩스,399720,2019/12,999999999,
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,-117.8,
(주)강스템바이오텍,217730,2015/12,-5.41,
(주)강스템바이오텍,217730,2016/12,-18.89,
(주)강스템바이오텍,217730,2017/12,-7.93,-8.15
(주)강스템바이오텍,217730,2018/12,-11.95,-12.31
(주)강스템바이오텍,217730,2019/12,-23.34,-21.5
(주)강원랜드,035250,2000/12,,
(주)강원랜드,035250,2001/12,334.55,
(주)강원랜드,035250,2002/12,627.87,
(주)강원랜드,035250,2003/12,999999999,
(주)강원랜드,035250,2004/12,999999999,
(주)강원랜드,035250,2005/12,999999999,
(주)강원랜드,035250,2006/12,999999999,
(주)강원랜드,035250,2007/12,999999999,
(주)강원랜드,035250,2008/12,132088.08,
(주)강원랜드,035250,2009/12,32608.62,32512.3
(주)강원랜드,035250,2010/12,999999999,2546.99
(주)강원랜드,035250,2011/12,1173.14,1142.61
(주)강원랜드,035250,2012/12,643.6,565.68
(주)강원랜드,035250,2013/12,1460.36,1421.81
(주)강원랜드,035250,2014/12,2126.84,2073.72
(주)강원랜드,035250,2015/12,2661.2,2623.81
(주)강원랜드,035250,2016/12,2743.01,836.02
(주)강원랜드,035250,2017/12,2717.07,2241.82
(주)강원랜드,035250,2018/12,2008.39,1834.66
(주)강원랜드,035250,2019/12,276.34,255.56
(주)강원에너지,114190,2000/11,,
(주)강원에너지,114190,2001/11,1.35,
(주)강원에너지,114190,2002/11,16.82,
(주)강원에너지,114190,2003/11,11.94,
(주)강원에너지,114190,2004/11,-5.42,
(주)강원에너지,114190,2005/11,-82.13,
(주)강원에너지,114190,2006/11,69.76,
(주)강원에너지,114190,2007/11,241.72,
(주)강원에너지,114190,2008/11,569.29,
(주)강원에너지,114190,2009/11,514.44,
(주)강원에너지,114190,2010/11,438.92,
(주)강원에너지,114190,2011/11,376.82,
(주)강원에너지,114190,2012/12,58.37,
(주)강원에너지,114190,2013/12,18.11,
(주)강원에너지,114190,2014/12,39.01,
(주)강원에너지,114190,2015/12,762.26,187.51
(주)강원에너지,114190,2016/12,-166.17,-241.54
(주)강원에너지,114190,2017/12,-89.84,-26.56
(주)강원에너지,114190,2018/12,0.35,0.2
(주)강원에너지,114190,2019/12,-9.33,-8.38
(주)갤럭시아에스엠,011420,2000/12,1.2,
(주)갤럭시아에스엠,011420,2001/12,1.19,
(주)갤럭시아에스엠,011420,2002/12,-0.82,
(주)갤럭시아에스엠,011420,2003/12,0.27,
(주)갤럭시아에스엠,011420,2004/12,-5.46,
(주)갤럭시아에스엠,011420,2005/12,-1.7,
(주)갤럭시아에스엠,011420,2006/12,0.13,
(주)갤럭시아에스엠,011420,2007/12,2.01,
(주)갤럭시아에스엠,011420,2008/12,4.1,
(주)갤럭시아에스엠,011420,2009/12,1.94,
(주)갤럭시아에스엠,011420,2010/12,4.45,0.74
(주)갤럭시아에스엠,011420,2011/12,3.37,6.31
(주)갤럭시아에스엠,011420,2012/12,3.15,3.79
(주)갤럭시아에스엠,011420,2013/12,2.26,1.9
(주)갤럭시아에스엠,011420,2014/12,-1.41,-0.88
(주)갤럭시아에스엠,011420,2015/12,9.86,5.69
(주)갤럭시아에스엠,011420,2016/12,-18.56,-18.76
(주)갤럭시아에스엠,011420,2017/12,-33.36,-35.52
(주)갤럭시아에스엠,011420,2018/12,-102.12,-157.86
(주)갤럭시아에스엠,011420,2019/12,-15.22,-8.95
(주)경농,002100,2000/12,1.4,
(주)경농,002100,2001/12,1.74,
(주)경농,002100,2002/12,2.15,
(주)경농,002100,2003/12,1.27,
(주)경농,002100,2004/12,2.55,
(주)경농,002100,2005/12,5.81,
(주)경농,002100,2006/12,8.33,
(주)경농,002100,2007/12,9.52,
(주)경농,002100,2008/12,9.03,
(주)경농,002100,2009/12,7.04,
(주)경농,002100,2010/12,6.99,6.85
(주)경농,002100,2011/12,4.5,4.52
(주)경농,002100,2012/12,8.89,5.6
(주)경농,002100,2013/12,9.47,4.81
(주)경농,002100,2014/12,9.33,4.53
(주)경농,002100,2015/12,6.21,3.96
(주)경농,002100,2016/12,5.39,3.5
(주)경농,002100,2017/12,5.54,2.8
(주)경농,002100,2018/12,9.8,5.16
(주)경농,002100,2019/12,5.02,2.2
(주)경동나비엔,009450,2000/12,9.76,
(주)경동나비엔,009450,2001/12,17.9,
(주)경동나비엔,009450,2002/12,9179.82,
(주)경동나비엔,009450,2003/12,6700.7,
(주)경동나비엔,009450,2004/12,178.44,
(주)경동나비엔,009450,2005/12,87.65,
(주)경동나비엔,009450,2006/12,81.48,
(주)경동나비엔,009450,2007/12,10.66,11.3
(주)경동나비엔,009450,2008/12,12.85,14.43
(주)경동나비엔,009450,2009/12,225.66,565.83
(주)경동나비엔,009450,2010/12,199.74,21.77
(주)경동나비엔,009450,2011/12,27.72,12
(주)경동나비엔,009450,2012/12,28.05,11.7
(주)경동나비엔,009450,2013/12,32.7,14.4
(주)경동나비엔,009450,2014/12,9.27,4.93
(주)경동나비엔,009450,2015/12,9.88,6.98
(주)경동나비엔,009450,2016/12,54.24,25.05
(주)경동나비엔,009450,2017/12,54.55,30.33
(주)경동나비엔,009450,2018/12,18.09,11.32
(주)경동나비엔,009450,2019/12,21.23,11.06
(주)경동도시가스,267290,2017/12,,
(주)경동도시가스,267290,2018/12,99.67,98.82
(주)경동도시가스,267290,2019/12,28.89,29.28
(주)경동인베스트,012320,2000/12,8.93,
(주)경동인베스트,012320,2001/12,7.52,
(주)경동인베스트,012320,2002/12,25.37,
(주)경동인베스트,012320,2003/12,25.59,
(주)경동인베스트,012320,2004/12,14.08,
(주)경동인베스트,012320,2005/12,30.52,
(주)경동인베스트,012320,2006/12,22.39,
(주)경동인베스트,012320,2007/12,22.09,12.89
(주)경동인베스트,012320,2008/12,35.06,18.97
(주)경동인베스트,012320,2009/12,37.83,7.26
(주)경동인베스트,012320,2010/12,61.78,13.91
(주)경동인베스트,012320,2011/12,62.58,11.03
(주)경동인베스트,012320,2012/12,52.51,17.71
(주)경동인베스트,012320,2013/12,66.34,27.91
(주)경동인베스트,012320,2014/12,54.04,20.25
(주)경동인베스트,012320,2015/12,29.77,-4.35
(주)경동인베스트,012320,2016/12,28.09,7.92
(주)경동인베스트,012320,2017/12,999999999,9.05
(주)경동인베스트,012320,2018/12,-1131.57,10.67
(주)경동인베스트,012320,2019/12,-4.64,5.29
(주)경방,000050,2000/12,0.49,
(주)경방,000050,2001/12,0.32,
(주)경방,000050,2002/12,1.09,
(주)경방,000050,2003/12,-0.25,
(주)경방,000050,2004/12,-1.36,
(주)경방,000050,2005/12,0.65,
(주)경방,000050,2006/12,-0.3,
(주)경방,000050,2007/12,-5.77,-4.05
(주)경방,000050,2008/12,0.46,-2.46
(주)경방,000050,2009/12,-1.07,-1.65
(주)경방,000050,2010/12,1.93,2.12
(주)경방,000050,2011/12,1.24,1.15
(주)경방,000050,2012/12,0.43,0.36
(주)경방,000050,2013/12,2.9,2.58
(주)경방,000050,2014/12,2.93,2.47
(주)경방,000050,2015/12,4.38,3.9
(주)경방,000050,2016/12,7.08,5.54
(주)경방,000050,2017/12,7.8,6.35
(주)경방,000050,2018/12,7.97,5.13
(주)경방,000050,2019/12,6.99,3.59
(주)경보제약,214390,2000/12,1.53,
(주)경보제약,214390,2001/12,1.22,
(주)경보제약,214390,2002/12,1.37,
(주)경보제약,214390,2003/12,2.42,
(주)경보제약,214390,2004/12,2.13,
(주)경보제약,214390,2005/12,0.19,
(주)경보제약,214390,2006/12,2.41,
(주)경보제약,214390,2007/12,0.92,
(주)경보제약,214390,2008/12,2.8,
(주)경보제약,214390,2009/12,3.82,
(주)경보제약,214390,2010/12,5.93,
(주)경보제약,214390,2011/12,5.6,
(주)경보제약,214390,2012/12,9.56,
(주)경보제약,214390,2013/12,19.13,
(주)경보제약,214390,2014/12,25.51,
(주)경보제약,214390,2015/12,29.2,
(주)경보제약,214390,2016/12,16.24,
(주)경보제약,214390,2017/12,24.47,
(주)경보제약,214390,2018/12,19.43,
(주)경보제약,214390,2019/12,4.77,
(주)경인양행,012610,2000/12,2.81,
(주)경인양행,012610,2001/12,8.27,
(주)경인양행,012610,2002/12,44.16,
(주)경인양행,012610,2003/12,949.34,
(주)경인양행,012610,2004/12,999999999,
(주)경인양행,012610,2005/12,0.33,
(주)경인양행,012610,2006/12,-0.41,
(주)경인양행,012610,2007/12,1.63,1.79
(주)경인양행,012610,2008/12,2.8,12.6
(주)경인양행,012610,2009/12,3.78,9.89
(주)경인양행,012610,2010/12,0.34,3.96
(주)경인양행,012610,2011/12,0.99,1.77
(주)경인양행,012610,2012/12,1.54,1.26
(주)경인양행,012610,2013/12,9.2,5.73
(주)경인양행,012610,2014/12,8.03,7.16
(주)경인양행,012610,2015/12,0.07,4.19
(주)경인양행,012610,2016/12,2.46,6.44
(주)경인양행,012610,2017/12,0.11,3.12
(주)경인양행,012610,2018/12,4.74,5.68
(주)경인양행,012610,2019/12,4.18,4.66
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,16.79,
(주)고려시멘트,198440,2018/12,9.2,
(주)고려시멘트,198440,2019/12,-1.08,
(주)고바이오랩,348150,2019/12,,
(주)고영테크놀러지,098460,2005/12,,
(주)고영테크놀러지,098460,2006/12,99.61,
(주)고영테크놀러지,098460,2007/12,251.7,
(주)고영테크놀러지,098460,2008/12,617.02,
(주)고영테크놀러지,098460,2009/12,27.74,
(주)고영테크놀러지,098460,2010/12,53.86,55.42
(주)고영테크놀러지,098460,2011/12,999999999,22785.6
(주)고영테크놀러지,098460,2012/12,999999999,1627.45
(주)고영테크놀러지,098460,2013/12,999999999,443.96
(주)고영테크놀러지,098460,2014/12,999999999,1673.12
(주)고영테크놀러지,098460,2015/12,999999999,2242.05
(주)고영테크놀러지,098460,2016/12,999999999,2001.96
(주)고영테크놀러지,098460,2017/12,999999999,6141.06
(주)고영테크놀러지,098460,2018/12,999999999,5839.89
(주)고영테크놀러지,098460,2019/12,186.77,112.96
(주)골드앤에스,035290,2000/12,-2.91,
(주)골드앤에스,035290,2001/12,0.06,
(주)골드앤에스,035290,2002/12,-10.07,
(주)골드앤에스,035290,2003/12,1464.76,
(주)골드앤에스,035290,2004/12,6.17,
(주)골드앤에스,035290,2005/12,10.71,
(주)골드앤에스,035290,2006/12,-8.09,
(주)골드앤에스,035290,2007/12,11.33,
(주)골드앤에스,035290,2008/12,1.99,
(주)골드앤에스,035290,2009/12,1.93,
(주)골드앤에스,035290,2010/12,0.29,-7.22
(주)골드앤에스,035290,2011/12,1.49,1.13
(주)골드앤에스,035290,2012/12,-1.95,-1.91
(주)골드앤에스,035290,2013/12,-4.6,-3.83
(주)골드앤에스,035290,2014/12,-1.73,-1.41
(주)골드앤에스,035290,2015/12,1.89,1.99
(주)골드앤에스,035290,2016/12,2.5,2.42
(주)골드앤에스,035290,2017/12,-27.46,-26.15
(주)골드앤에스,035290,2018/12,-4.46,-4.56
(주)골드앤에스,035290,2019/12,-1.46,-1.46
(주)골드퍼시픽,038530,2000/12,4.75,
(주)골드퍼시픽,038530,2001/12,-83.87,
(주)골드퍼시픽,038530,2002/12,-177.16,
(주)골드퍼시픽,038530,2003/12,-59.93,
(주)골드퍼시픽,038530,2004/12,-23.64,
(주)골드퍼시픽,038530,2005/12,-5.93,
(주)골드퍼시픽,038530,2006/12,0.13,
(주)골드퍼시픽,038530,2007/12,-14.13,
(주)골드퍼시픽,038530,2008/12,-8.02,
(주)골드퍼시픽,038530,2009/12,999999999,
(주)골드퍼시픽,038530,2010/12,999999999,
(주)골드퍼시픽,038530,2011/12,19.03,
(주)골드퍼시픽,038530,2012/12,2.66,
(주)골드퍼시픽,038530,2013/12,-10.81,-11.34
(주)골드퍼시픽,038530,2014/12,-6.82,-4.33
(주)골드퍼시픽,038530,2015/12,-13.68,-9.59
(주)골드퍼시픽,038530,2016/12,-17.43,
(주)골드퍼시픽,038530,2017/12,0.62,
(주)골드퍼시픽,038530,2018/12,-0.38,-0.68
(주)골드퍼시픽,038530,2019/12,-0.89,
(주)골프존,215000,2015/12,,
(주)골프존,215000,2016/12,58.98,59.8
(주)골프존,215000,2017/12,47.32,52.52
(주)골프존,215000,2018/12,39.07,37.61
(주)골프존,215000,2019/12,44.45,32.18
(주)골프존뉴딘홀딩스,121440,2007/12,,
(주)골프존뉴딘홀딩스,121440,2008/12,80416.72,
(주)골프존뉴딘홀딩스,121440,2009/12,240203.16,
(주)골프존뉴딘홀딩스,121440,2010/12,999999999,3878.1
(주)골프존뉴딘홀딩스,121440,2011/12,1701.64,1101.46
(주)골프존뉴딘홀딩스,121440,2012/12,48.56,31.08
(주)골프존뉴딘홀딩스,121440,2013/12,39.77,25.98
(주)골프존뉴딘홀딩스,121440,2014/12,65.05,22.05
(주)골프존뉴딘홀딩스,121440,2015/12,-21.02,-1.54
(주)골프존뉴딘홀딩스,121440,2016/12,-4.43,5.22
(주)골프존뉴딘홀딩스,121440,2017/12,-4.92,2.81
(주)골프존뉴딘홀딩스,121440,2018/12,-7.1,0.15
(주)골프존뉴딘홀딩스,121440,2019/12,-9.01,-0.36
(주)공구우먼,366030,2017/12,,
(주)공구우먼,366030,2018/12,69.2,
(주)공구우먼,366030,2019/12,999999999,
(주)광림,014200,2000/12,2.18,
(주)광림,014200,2001/12,-2.35,
(주)광림,014200,2002/12,5.39,
(주)광림,014200,2003/12,5.99,
(주)광림,014200,2004/12,8.03,
(주)광림,014200,2005/12,6.24,
(주)광림,014200,2006/12,4.46,
(주)광림,014200,2007/12,2.22,
(주)광림,014200,2008/12,0.6,
(주)광림,014200,2009/12,0.36,
(주)광림,014200,2010/12,1.91,
(주)광림,014200,2011/12,2.8,
(주)광림,014200,2012/12,1.71,
(주)광림,014200,2013/12,6.18,
(주)광림,014200,2014/12,1.79,0.7
(주)광림,014200,2015/12,0.43,
(주)광림,014200,2016/12,0.16,0.16
(주)광림,014200,2017/12,1.64,-3.19
(주)광림,014200,2018/12,1.45,-0.23
(주)광림,014200,2019/12,1.37,-2.3
(주)광명전기,017040,2000/12,0.74,
(주)광명전기,017040,2002/11,13.92,
(주)광명전기,017040,2003/11,26.55,
(주)광명전기,017040,2004/11,5.01,
(주)광명전기,017040,2005/12,-0.69,
(주)광명전기,017040,2006/12,1.71,
(주)광명전기,017040,2007/12,0.44,1.09
(주)광명전기,017040,2008/12,0.5,1.01
(주)광명전기,017040,2009/12,1.58,3.24
(주)광명전기,017040,2010/12,2.06,2.24
(주)광명전기,017040,2011/12,1.57,0.38
(주)광명전기,017040,2012/12,4.22,3.63
(주)광명전기,017040,2013/12,11.17,11.84
(주)광명전기,017040,2014/12,17.71,19.42
(주)광명전기,017040,2015/12,9.32,20.92
(주)광명전기,017040,2016/12,11.76,10.52
(주)광명전기,017040,2017/12,14.7,5.78
(주)광명전기,017040,2018/12,9.92,3.61
(주)광명전기,017040,2019/12,22.79,21.67
(주)광무,029480,2000/12,2.48,
(주)광무,029480,2001/12,0.46,
(주)광무,029480,2002/12,-1.31,
(주)광무,029480,2003/12,1.43,
(주)광무,029480,2004/12,-8.77,
(주)광무,029480,2005/12,0.78,
(주)광무,029480,2006/12,-1.89,
(주)광무,029480,2007/12,4.6,4.06
(주)광무,029480,2008/12,3.1,
(주)광무,029480,2009/12,3.31,
(주)광무,029480,2010/12,1.12,0.68
(주)광무,029480,2011/12,-1.67,-3.01
(주)광무,029480,2012/12,-2.61,-2.69
(주)광무,029480,2013/12,-4.26,-8.2
(주)광무,029480,2014/12,1.12,
(주)광무,029480,2015/12,-0.8,
(주)광무,029480,2016/12,1.93,
(주)광무,029480,2017/12,0.32,
(주)광무,029480,2018/12,-1.6,-3.19
(주)광무,029480,2019/12,-2.36,-2.9
(주)광주신세계,037710,2000/12,212.05,
(주)광주신세계,037710,2001/12,47790.34,
(주)광주신세계,037710,2002/12,999999999,
(주)광주신세계,037710,2003/12,999999999,
(주)광주신세계,037710,2004/12,999999999,
(주)광주신세계,037710,2005/12,999999999,
(주)광주신세계,037710,2006/12,999999999,
(주)광주신세계,037710,2007/12,999999999,
(주)광주신세계,037710,2008/12,999999999,
(주)광주신세계,037710,2009/12,999999999,
(주)광주신세계,037710,2010/12,999999999,
(주)광주신세계,037710,2011/12,999999999,
(주)광주신세계,037710,2012/12,999999999,
(주)광주신세계,037710,2013/12,13.07,
(주)광주신세계,037710,2014/12,10.46,
(주)광주신세계,037710,2015/12,15.34,
(주)광주신세계,037710,2016/12,30.68,
(주)광주신세계,037710,2017/12,86.86,
(주)광주신세계,037710,2018/12,715.98,
(주)광주신세계,037710,2019/12,193.26,
(주)구영테크,053270,2000/12,2.21,
(주)구영테크,053270,2001/12,1.37,
(주)구영테크,053270,2002/12,3.64,
